codigo_municipio,populacao_total,qtd_escolas_elegiveis,qtd_escolas_com_enem,enem_media_praca,populacao_0_17,score_socioeconomico,percentil_socioeconomico,percentil_volume_escolas,percentil_qualidade_enem,score_priorizacao,nome_municipio_ibge,uf
3106200,2315560,111.0,89.0,646.1814340678559,436188,0.6082469503744856,0.9654088050314465,0.9874213836477987,0.9714285714285714,0.9738,Belo Horizonte,MG
3303302,481749,54.0,38.0,644.5040205479451,84984,0.9618300711710692,1.0,0.9449685534591195,0.9523809523809523,0.9692,Niterói,RJ
5208707,1437366,85.0,66.0,638.410821864324,313406,0.5169299880615563,0.9465408805031447,0.9779874213836478,0.9206349206349206,0.9482,Goiânia,GO
3205309,322869,18.0,17.0,659.6090372474748,64226,0.7705237921900676,0.9842767295597484,0.809748427672956,0.9936507936507937,0.9347,Vitória,ES
4205407,537211,34.0,26.0,632.3985962185961,99544,0.8646907090227307,0.9937106918238994,0.8977987421383647,0.8793650793650793,0.9306,Florianópolis,SC
5300108,2817381,134.0,103.0,625.9349165193479,656575,0.6028953232975294,0.9622641509433962,0.9905660377358491,0.819047619047619,0.9278,Brasília,DF
4314902,1332845,51.0,46.0,628.3060460992907,257661,0.7294645845772175,0.9779874213836478,0.9371069182389937,0.8507936507936508,0.9276,Porto Alegre,RS
3549904,697054,28.0,22.0,645.5985727069352,155370,0.4377076326401712,0.9150943396226415,0.8836477987421384,0.9650793650793651,0.9207,São José dos Campos,SP
2611606,1488920,90.0,70.0,627.0294436478348,319633,0.47830117138214073,0.9308176100628931,0.9811320754716981,0.8317460317460318,0.9162,Recife,PE
3543402,698642,47.0,35.0,628.1991820728291,142287,0.4737293135467384,0.9245283018867925,0.9276729559748428,0.8444444444444444,0.9014,Ribeirão Preto,SP
3548807,165655,14.0,10.0,631.6276875,30754,0.9258013419515192,0.9968553459119497,0.7122641509433962,0.8761904761904762,0.8753,São Caetano do Sul,SP
2507507,833932,63.0,50.0,628.300811394044,194972,0.36586391551467445,0.8113207547169812,0.9622641509433962,0.8476190476190476,0.8675,João Pessoa,PB
3170206,713224,22.0,18.0,642.2582333025547,157889,0.36618173150596345,0.8144654088050315,0.8522012578616353,0.9428571428571428,0.8643,Uberlândia,MG
2800308,602757,61.0,43.0,619.5221463251298,136430,0.4163817492243541,0.8930817610062893,0.9591194968553459,0.7301587301587301,0.864,Aracaju,SE
3136702,540756,20.0,15.0,628.7330707327404,104428,0.4056894178212451,0.8742138364779874,0.8380503144654088,0.8539682539682539,0.8573,Juiz de Fora,MG
2408102,751300,53.0,44.0,619.9762973817899,165082,0.4008916776401226,0.8679245283018868,0.940251572327044,0.746031746031746,0.8531,Natal,RN
4106902,1773718,65.0,50.0,610.432962376934,349701,0.6515001327089087,0.9748427672955975,0.9654088050314465,0.5650793650793651,0.8491,Curitiba,PR
3144805,111697,9.0,7.0,645.8039716312056,24766,0.8051109595871214,0.9874213836477987,0.5251572327044025,0.9682539682539683,0.843,Nova Lima,MG
3304557,6211223,465.0,319.0,608.8112662022036,1251008,0.5206560392715472,0.949685534591195,0.9968553459119497,0.5396825396825397,0.8408,Rio de Janeiro,RJ
4113700,555965,24.0,19.0,618.4557273482959,117917,0.4383414977449144,0.9182389937106918,0.8647798742138365,0.7015873015873015,0.8372,Londrina,PR
3525904,443221,36.0,28.0,610.6159809523809,90755,0.5460426204193487,0.9559748427672956,0.9072327044025157,0.5682539682539682,0.825,Jundiaí,SP
3538709,423323,23.0,17.0,621.0547952306895,89355,0.38534175273883337,0.8490566037735849,0.8584905660377359,0.7555555555555555,0.8238,Piracicaba,SP
2304400,2428708,135.0,106.0,622.8588752136752,545863,0.3291627197242535,0.7232704402515723,0.9937106918238994,0.7777777777777778,0.8208,Fortaleza,CE
3548708,810729,37.0,32.0,612.3169320761307,169455,0.4325332079763368,0.9088050314465409,0.9135220125786163,0.6095238095238096,0.8204,São Bernardo do Campo,SP
3509502,1139047,50.0,40.0,607.7364049586778,230413,0.5557403216428769,0.9591194968553459,0.9339622641509434,0.5206349206349207,0.82,Campinas,SP
