CO_MUNICIPIO,NO_ENTIDADE,CO_ENTIDADE,TP_DEPENDENCIA,TP_CATEGORIA_ESCOLA_PRIVADA,TP_SITUACAO_FUNCIONAMENTO,IN_AUDITORIO,IN_BIBLIOTECA,IN_BIBLIOTECA_SALA_LEITURA,IN_LABORATORIO_CIENCIAS,IN_LABORATORIO_INFORMATICA,IN_QUADRA_ESPORTES,IN_QUADRA_ESPORTES_COBERTA,QT_SALAS_UTILIZADAS,IN_INTERNET,QT_TUR_INF,QT_TUR_FUND_AI,QT_TUR_FUND_AF,QT_TUR_MED,QT_TUR_PROF,QT_TUR_EJA,QT_MAT_BAS,QT_MAT_MED,mat_por_sala,codigo_municipio,codigo_escola,qtd_participantes_enem,enem_media_geral,indice_infra,confiavel_enem,percentil_enem,percentil_infra,score_destaque,nome_municipio_ibge,uf
3106200,COLEGIO SANTO AGOSTINHO,31004651,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62.0,1.0,9.0,48.0,33.0,26.0,0.0,0.0,3456.0,1070.0,17.258064516129032,3106200,31004651,314.0,721.6742675159236,5.0,True,0.9907561033420241,0.8979989374889322,0.9537,Belo Horizonte,MG
3106200,COLEGIO MAGNUM AGOSTINIANO,31387860,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,3.0,7.0,4.0,3.0,0.0,0.0,266.0,63.0,3.15,3106200,31387860,11.0,694.66,5.0,True,0.9696610571225409,0.8979989374889322,0.941,Belo Horizonte,MG
3106200,COLEGIO LOGOSOFICO GONZALEZ PECOTCHE,31006157,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,29.0,1.0,8.0,10.0,8.0,5.0,1.0,0.0,868.0,150.0,5.172413793103448,3106200,31006157,45.0,693.8408888888889,5.0,True,0.9687129651576203,0.8979989374889322,0.9404,Belo Horizonte,MG
3106200,ESCOLA SEB UNIMASTER,31309711,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,1.0,10.0,18.0,8.0,3.0,0.0,0.0,817.0,69.0,2.555555555555556,3106200,31309711,26.0,685.5546153846154,5.0,True,0.9561507466224224,0.8979989374889322,0.9329,Belo Horizonte,MG
3106200,COLEGIO OLIMPO BH,31369772,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,68.0,38.0,5.428571428571429,3106200,31369772,10.0,683.428,5.0,True,0.9535434937188907,0.8979989374889322,0.9313,Belo Horizonte,MG
5208707,COLEGIO ARENA,52103137,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,1.0,0.0,0.0,0.0,24.0,0.0,0.0,1403.0,1403.0,58.458333333333336,5208707,52103137,340.0,695.3573529411765,5.0,True,0.9706091490874614,0.8979989374889322,0.9416,Goiânia,GO
5208707,COLEGIO PROGRESSIVO,52034054,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,263.0,263.0,43.833333333333336,5208707,52034054,79.0,677.0464978902953,5.0,True,0.9424034131310737,0.8979989374889322,0.9246,Goiânia,GO
5208707,COLEGIO PREVEST,52034046,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,490.0,490.0,23.33333333333333,5208707,52034046,124.0,670.8133064516129,5.0,True,0.9310263095520266,0.8979989374889322,0.9178,Goiânia,GO
5208707,COLEGIO VISAO,52089550,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,119.0,119.0,5.95,5208707,52089550,55.0,669.8071515151515,5.0,True,0.9288931026309551,0.8979989374889322,0.9165,Goiânia,GO
5208707,COLEGIO JAO LTDA,52086615,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,0.0,0.0,9.0,6.0,0.0,0.0,485.0,218.0,13.625,5208707,52086615,55.0,660.721090909091,5.0,True,0.9023465276131785,0.8979989374889322,0.9006,Goiânia,GO
3303302,COLEGIO MARILIA MATTOSO,33055866,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,202.0,1.0,4.0,10.0,8.0,3.0,0.0,0.0,513.0,80.0,0.396039603960396,3303302,33055866,10.0,728.492,5.0,True,0.9931263332543256,0.8979989374889322,0.9551,Niterói,RJ
3303302,INSTITUTO GAYLUSSAC - ENS FUNDAMENTAL E MEDIO,33057206,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,1.0,0.0,11.0,16.0,10.0,0.0,0.0,1135.0,300.0,8.108108108108109,3303302,33057206,100.0,713.3588000000001,5.0,True,0.9860156435174212,0.8979989374889322,0.9508,Niterói,RJ
3303302,ISJB - COLEGIO SALESIANO REGIAO OCEANICA,33155259,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.0,1.0,7.0,10.0,9.0,6.0,0.0,0.0,660.0,151.0,4.314285714285714,3303302,33155259,49.0,654.8534693877551,5.0,True,0.8791182744726238,0.8979989374889322,0.8867,Niterói,RJ
3303302,COLEGIO E CURSO PENSI,33165920,4,1.0,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,14.0,1.0,0.0,0.0,9.0,7.0,0.0,0.0,561.0,277.0,19.785714285714285,3303302,33165920,29.0,758.8586206896553,4.0,True,0.9981038160701589,0.672126792987427,0.8677,Niterói,RJ
3303302,COLEGIO SALESIANO SANTA ROSA,33055947,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,1.0,12.0,29.0,23.0,11.0,1.0,0.0,1763.0,316.0,6.32,3303302,33055947,83.0,643.9246987951807,5.0,True,0.8302915382792131,0.8979989374889322,0.8574,Niterói,RJ
3205309,ESCOLA SAO DOMINGOS,32041152,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,26.0,1.0,0.0,0.0,19.0,7.0,1.0,0.0,833.0,256.0,9.846153846153848,3205309,32041152,74.0,712.7585585585585,5.0,True,0.9853045745437308,0.8979989374889322,0.9504,Vitória,ES
3205309,COLEGIO PRIMEIRO MUNDO,32040040,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.0,1.0,10.0,18.0,10.0,3.0,0.0,0.0,687.0,95.0,2.375,3205309,32040040,29.0,702.2151724137931,5.0,True,0.9779568618155962,0.8979989374889322,0.946,Vitória,ES
