CO_MUNICIPIO,NO_ENTIDADE,CO_ENTIDADE,TP_DEPENDENCIA,TP_CATEGORIA_ESCOLA_PRIVADA,TP_SITUACAO_FUNCIONAMENTO,IN_AUDITORIO,IN_BIBLIOTECA,IN_BIBLIOTECA_SALA_LEITURA,IN_LABORATORIO_CIENCIAS,IN_LABORATORIO_INFORMATICA,IN_QUADRA_ESPORTES,IN_QUADRA_ESPORTES_COBERTA,QT_SALAS_UTILIZADAS,IN_INTERNET,QT_TUR_INF,QT_TUR_FUND_AI,QT_TUR_FUND_AF,QT_TUR_MED,QT_TUR_PROF,QT_TUR_EJA,QT_MAT_BAS,qt_mat_med_2025,mat_por_sala,codigo_municipio,qt_mat_med_2023,crescimento_pct
1100122,ESCOLA FAMILIA AGRICOLA ITAPIREMA,11015896,4,2.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,211.0,211.0,70.33333333333333,1100122,197.0,7.1
1100122,COLEGIO UNIAO,11037660,4,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,18.0,1.0,8.0,10.0,7.0,3.0,0.0,0.0,394.0,67.0,3.7222222222222223,1100122,88.0,-23.9
1100122,COLEGIO EDUCAR,11049294,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,1.0,3.0,11.0,8.0,2.0,1.0,0.0,282.0,19.0,1.1176470588235294,1100122,0.0,
1100122,CLARETIANO COLEGIO JI-PARANA,11051000,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,4.0,6.0,4.0,2.0,0.0,0.0,314.0,31.0,1.9375,1100122,0.0,
1100205,CENTRO DE ENSINO CLASSE A,11000058,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,1.0,3.0,11.0,12.0,9.0,4.0,0.0,1081.0,357.0,9.64864864864865,1100205,354.0,0.8
1100205,COLEGIO SAPIENS - UNIDADE JARDIM DAS MANGUEIRAS,11000198,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.0,1.0,11.0,15.0,13.0,6.0,0.0,0.0,978.0,197.0,5.628571428571429,1100205,217.0,-9.2
1100205,COLEGIO SAPIENS - UNIDADE JARDIM AMERICA,11000252,4,1.0,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,27.0,1.0,10.0,16.0,10.0,5.0,0.0,0.0,694.0,125.0,4.62962962962963,1100205,100.0,25.0
1100205,CENTRO EDUCACIONAL DR GILBERTO MENDES DE AZEVEDO,11000880,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.0,1.0,4.0,16.0,17.0,8.0,3.0,1.0,1265.0,310.0,10.0,1100205,254.0,22.0
1100205,CENTRO DE ENSINO MINEIRO,11037474,4,1.0,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0,26.0,1.0,3.0,9.0,8.0,4.0,3.0,0.0,603.0,133.0,5.115384615384615,1100205,175.0,-24.0
1100205,COLEGIO CLASSE A,11043857,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,2.0,5.0,5.0,3.0,1.0,0.0,388.0,122.0,8.133333333333333,1100205,161.0,-24.2
1100205,COLEGIO CRISTAO,11048557,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.0,1.0,16.0,20.0,11.0,4.0,0.0,0.0,934.0,98.0,2.8,1100205,70.0,40.0
1100205,MAPLE BEAR PORTO VELHO,11049006,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.0,1.0,5.0,19.0,8.0,4.0,0.0,0.0,714.0,93.0,2.325,1100205,51.0,82.4
1100205,COLEGIO SAPIENS - UNIDADE INTENSIVO,11049073,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,73.0,73.0,14.6,1100205,72.0,1.4
1100205,INSTITUTO EDUCACIONAL ALENCAR FREITAS LTDA - ME,11049340,4,1.0,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,19.0,1.0,4.0,10.0,8.0,3.0,0.0,0.0,421.0,34.0,1.7894736842105263,1100205,13.0,161.5
1200401,COLEGIO ADVENTISTA DE RIO BRANCO,12010928,4,3.0,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,30.0,1.0,6.0,17.0,12.0,6.0,3.0,0.0,1059.0,201.0,6.7,1200401,149.0,34.9
1200401,ESC CENTRO EDUCACIONAL E CULTURAL - META,12010936,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,44.0,1.0,0.0,15.0,12.0,9.0,0.0,0.0,925.0,331.0,7.522727272727272,1200401,339.0,-2.4
