nome_escola,codigo_municipio,pib_per_capita,quantidade_salas,score_potencial
COLEGIO SALESIANO SANTA ROSA,3303302,158314.82,45.0,0.9943
EDUARDO GOMES COLEGIO,3548807,136147.1,47.0,0.9924
ESCOLA VILLARE,3548807,136147.1,45.0,0.9919
EDUCANDARIO IMACULADA CONCEICAO,4205407,58059.37,50.0,0.9914
COLEGIO SANTO AGOSTINHO UNIDADE NOVA LIMA,3144805,111440.33,78.0,0.9913
INSTITUTO GAYLUSSAC - ENS FUNDAMENTAL E MEDIO,3303302,158314.82,37.0,0.9912
FENIX SANTA PAULA ESCOLA UNDADE I E II,3548807,136147.1,42.0,0.9911
ESCOLA INTERNACIONAL DE FORMACAO GERENCIAL,3144805,111440.33,71.0,0.991
INST ITALO BRASILEIRO BICULTURAL,3144805,111440.33,71.0,0.991
SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC,3205309,87520.35,135.0,0.9909
PROGRAMA BAIRRO EDUCADOR,4205407,58059.37,48.0,0.9909
SENAI NITEROI,3303302,158314.82,36.0,0.9906
COLEGIO BOM JESUS CORACAO DE JESUS,4205407,58059.37,45.0,0.9902
INST MAIA VINAGRE,3303302,158314.82,35.0,0.9899
ISJB - COLEGIO SALESIANO REGIAO OCEANICA,3303302,158314.82,35.0,0.9899
CE LEONARDO DA VINCI,3205309,87520.35,60.0,0.9897
COLEGIO ANGLO BALNEARIO CAMBORIU,4202008,64707.5,50.0,0.9897
CENTRO DE ENSINO CHARLES DARWIN,3205309,87520.35,48.0,0.9879
SENAI ES - CENTRO DE EDUCACAO E TECNOLOGIA ARIVALDO FONTES,3205309,87520.35,48.0,0.9879
REDE DE ENSINO NOVO TEMPO,3548500,73963.51,65.0,0.9879
COLEGIO RENOVACAO,3205309,87520.35,45.0,0.9872
EXTERNATO SANTO ANTONIO,3548807,136147.1,34.0,0.9868
ANTONIO SOUZA NOSCHESE ESCOLA SENAI,3548500,73963.51,51.0,0.9867
SENAC NITEROI,3303302,158314.82,30.0,0.9855
COLEGIO OBJETIVO CAMBOINHAS,3303302,158314.82,30.0,0.9855
CE PRIMEIRO MUNDO,3205309,87520.35,40.0,0.9855
SANTA CECILIA COLEGIO,3548500,73963.51,45.0,0.9852
ARMANDO DE ARRUDA PEREIRA ESCOLA SENAI,3548807,136147.1,32.0,0.9851
LICEU SANTISTA,3548500,73963.51,44.0,0.9849
ESCOLA SAO DOMINGOS,3205309,87520.35,38.0,0.9845
ESCOLA SENAI PAULO ANTONIO SKAF,3548807,136147.1,31.0,0.9843
COL MARILIA MATTOSO,3303302,158314.82,28.0,0.9829
CARMO COLEGIO,3548500,73963.51,38.0,0.9825
COLEGIO SANTA TEREZINHA,4205407,58059.37,31.0,0.9825
COLEGIO ADVENTISTA DE FLORIANOPOLIS - ESTREITO,4205407,58059.37,31.0,0.9825
COLEGIO ENERGIA,4205407,58059.37,31.0,0.9825
JEAN PIAGET UNIDADE II EEPG,3548500,73963.51,36.0,0.9816
COL MARISTA NOSSA SENHORA DO ROSARIO,4314902,78586.94,83.0,0.9815
ESCOLA DINAMICA,4205407,58059.37,30.0,0.9814
ESCOLA JARDIM ANCHIETA,4205407,58059.37,30.0,0.9814
COLEGIO FARROUPILHA,4314902,78586.94,72.0,0.9811
COL NOSSA SENHORA DO BOM CONSELHO,4314902,78586.94,68.0,0.9809
COLEGIO UNIFICADO,4202008,64707.5,31.0,0.9809
COLEGIO ISRAELITA BRASILEIRO,4314902,78586.94,59.0,0.9804
CENTRO DE ENSINO MEDIO PASTOR DOHMS-UNIDADE DE ENSINO HIGIENOPOLIS,4314902,78586.94,59.0,0.9804
COL METODISTA AMERICANO,4314902,78586.94,56.0,0.9802
COLEGIO CRIATIVO MATRIZ,4205407,58059.37,29.0,0.9802
COL LA SALLE SANTO ANTONIO,4314902,78586.94,54.0,0.9799
COLEGIO NOSSA SRA DA GLORIA,4314902,78586.94,52.0,0.9797
SENAC SANTOS,3548500,73963.51,33.0,0.9793
LICEU SAO PAULO,3548500,73963.51,33.0,0.9793
COLEGIO SALESIANO JARDIM CAMBURI,3205309,87520.35,30.0,0.9784
ESCOLA CRESCER,3205309,87520.35,30.0,0.9784
ONIS COLEGIO,3548500,73963.51,32.0,0.9784
ESCOLA CANADENSE EDUCACAO GLOBAL CANADIAN SCHOOL OF NITEROI,3303302,158314.82,25.0,0.9783
CENTRO MODERNO DE ENSINO LTDA,3303302,158314.82,25.0,0.9783
INSTITUTO GAYLUSSAC - JARDIM,3303302,158314.82,25.0,0.9783
COLEGIO ANGLO BALNEARIO CAMBORIU,4202008,64707.5,28.0,0.9772
COLEGIO SAO JUDAS TADEU,4314902,78586.94,42.0,0.9771
ESTABELECIMENTO DE ENSINO ESCOLA AMERICANA DE SANTOS,3548500,73963.51,30.0,0.9764
OBJETIVO DO LITORAL CENTRO EDUCACIONAL UNIDADE VI,3548500,73963.51,30.0,0.9764
COL SANTA DOROTEIA,4314902,78586.94,40.0,0.9763
COLEGIO ADVENTISTA DE PORTO ALEGRE,4314902,78586.94,40.0,0.9763
COLEGIO MAE DE DEUS,4314902,78586.94,40.0,0.9763
ESCOLA DINAMICA - LESTE,4205407,58059.37,26.0,0.976
CENTRO DE EDUCACAO ACAO E EXPRESSAO,4205407,58059.37,26.0,0.976
UP CENTRO EDUCACIONAL,3205309,87520.35,28.0,0.9758
CAT JOSE TARQUINIO SILVA,3205309,87520.35,28.0,0.9758
COLEGIO SALESIANO DOM BOSCO,4314902,78586.94,39.0,0.9758
COLEGIO BATISTA MINEIRO - UNIDADE ALPHAVILLE NOVA LIMA,3144805,111440.33,27.0,0.9752
CENTRO DE FORMACAO PROFISSIONAL SENAI VISCONDE DE MAUA,4314902,78586.94,37.0,0.9749
COL LA SALLE SAO JOAO,4314902,78586.94,37.0,0.9749
ESCOLA TECNICA CRISTO REDENTOR,4314902,78586.94,36.0,0.9744
INSTITUTO DE EDUCACAO SAO FRANCISCO,4314902,78586.94,36.0,0.9744
INSTITUTO SANTA LUZIA,4314902,78586.94,36.0,0.9744
DUAL INTERNATIONAL SCHOOL,4205407,58059.37,25.0,0.9742
SENAC DE FLORIANOPOLIS,4205407,58059.37,25.0,0.9742
SANT ANNA COLEGIO,3556701,192052.06,54.0,0.9739
COL MONTEIRO LOBATO - ESC EDUC BASICA,4314902,78586.94,35.0,0.9736
SISTEMA EDUCACIONAL BRASILEIRO DE EDUCACAO BASICA - SEB JARDIM DA PENHA,3205309,87520.35,26.0,0.9729
COLEGIO PROVINCIA DE SAO PEDRO,4314902,78586.94,33.0,0.9721
COL ADVENTISTA MARECHAL RONDON,4314902,78586.94,33.0,0.9721
ESCOLA DE EDUCACAO INFANTIL ENVOLVE E DESENVOLVE,4314902,78586.94,33.0,0.9721
CENTRO DE ENSINO GUROO,4205407,58059.37,24.0,0.9721
ESCOLA AUTONOMIA,4205407,58059.37,24.0,0.9721
COLEGIO ERASTO GAERTNER,4106902,67691.3,104.0,0.9715
COLEGIO BOM JESUS NOSSA SENHORA DE LOURDES ED INF ENS FUND E MEDIO,4106902,67691.3,106.0,0.9715
COLEGIO BOM JESUS ED INFANTIL ENSINO FUNDAMENTAL E MEDIO SEDE,4106902,67691.3,94.0,0.9714
SENAI CIDADE INDUSTRIAL DE CURITIBA,4106902,67691.3,92.0,0.9714
COLEGIO PLUZ,3303302,158314.82,22.0,0.9712
ESCOLA AMERICANA DE VITORIA,3205309,87520.35,25.0,0.9712
SENAC SAUDE,4314902,78586.94,32.0,0.9712
ESCOLA PANAMERICANA EDUC BASICA,4314902,78586.94,32.0,0.9712
ESCOLA BOM JESUSENSINO FUNDAMENTAL SUBSEDE AGUA VERDE I,4106902,67691.3,78.0,0.9712
ESCOLA POSITIVO JUNIOR - EDUCACAO INFANTIL E ENSINO FUNDAMENTAL,4106902,67691.3,80.0,0.9712
UEPT 1 - UNIDADE DE EDUCACAO PRO E TECNOLOGICA DE CURITIBA CENTRO- SENAC,4106902,67691.3,74.0,0.971
COLEGIO POSITIVO JARDIM AMBIENTAL EDUCACAO INFANTIL ENSINO FUNDAMENTAL E MEDIO,4106902,67691.3,72.0,0.971
