codigo_escola,NO_ENTIDADE,codigo_municipio,rank_municipio,n_escolas_confiaveis_municipio,segmento_comercial,rede_propria_poliedro,enem_media_geral,qtd_participantes_enem,indice_infra,QT_MAT_MED,score_destaque
23245573,MASTER COLEGIO,2304400,2,102,Desafiante (2º-5º local),False,748.7124324324325,37.0,5.0,132.0,0.9504
26534711,COLEGIO COGNITIVO,2611606,2,67,Desafiante (2º-5º local),False,736.4080303030303,132.0,5.0,433.0,0.949
26118165,COLEGIO EQUIPE,2611606,3,67,Desafiante (2º-5º local),False,727.4376271186441,59.0,5.0,234.0,0.9468
23272430,ARI DE SA CAVALCANTE - ALDEOTA,2304400,3,102,Desafiante (2º-5º local),False,727.3330325814536,133.0,5.0,658.0,0.9464
33104220,RECANTO INF IMACULADA CONCEICAO,3304557,2,308,Desafiante (2º-5º local),False,689.8397777777778,90.0,5.0,311.0,0.9439
33100713,COL SAINT JOHN,3304557,3,308,Desafiante (2º-5º local),False,689.3208333333333,24.0,5.0,82.0,0.9434
33065403,COLEGIO SANTO AGOSTINHO,3304557,4,308,Desafiante (2º-5º local),False,715.884,125.0,5.0,436.0,0.9432
33135371,COLEGIO CRUZEIRO - JACAREPAGUA,3304557,5,308,Desafiante (2º-5º local),False,706.7892473118279,93.0,5.0,309.0,0.9379
15167275,COLEGIO EQUIPE LTDA,1501402,2,54,Desafiante (2º-5º local),False,753.5191452991453,39.0,4.0,41.0,0.9323
15181081,COLEGIO INTEGRADO IN,1501402,3,54,Desafiante (2º-5º local),False,747.4823076923077,26.0,4.0,26.0,0.9318
32040032,CE LEONARDO DA VINCI,3205309,2,15,Desafiante (2º-5º local),False,695.9213333333333,50.0,5.0,219.0,0.9308
31193216,ESCOLA EDUCACAO CRIATIVA,3131307,2,7,Desafiante (2º-5º local),False,695.433933933934,111.0,5.0,339.0,0.9302
32040040,COLEGIO PRIMEIRO MUNDO,3205309,3,15,Desafiante (2º-5º local),False,702.2151724137931,29.0,5.0,95.0,0.9297
23071036,ARI DE SA CAVALCANTE - WASHINGTON SOARES,2304400,4,102,Desafiante (2º-5º local),False,694.94688172043,93.0,5.0,310.0,0.9295
31387860,COLEGIO MAGNUM AGOSTINIANO,3106200,2,80,Desafiante (2º-5º local),False,694.66,11.0,5.0,63.0,0.9291
31006157,COLEGIO LOGOSOFICO GONZALEZ PECOTCHE,3106200,3,80,Desafiante (2º-5º local),False,693.8408888888889,45.0,5.0,150.0,0.9284
23067071,COLEGIO CHRISTUS BARAO DE STUDART,2304400,5,102,Desafiante (2º-5º local),False,692.3433663366336,101.0,5.0,283.0,0.9268
24057126,COLEGIO SALESIANO SAO JOSE,2408102,2,44,Desafiante (2º-5º local),False,674.26,59.0,5.0,212.0,0.9237
25306936,ESCOLA INTERNACIONAL CIDADE VIVA,2507507,2,49,Desafiante (2º-5º local),False,694.507741935484,31.0,5.0,139.0,0.923
33055866,COLEGIO MARILIA MATTOSO,3303302,2,38,Desafiante (2º-5º local),False,728.492,10.0,5.0,80.0,0.9222
43104975,CENTRO DE ENSINO MEDIO FARROUPILHA - UNIDADE DE ENSINO COLEGIO FARROUPILHA,4314902,2,44,Desafiante (2º-5º local),False,692.887231638418,177.0,5.0,625.0,0.9213
31309711,ESCOLA SEB UNIMASTER,3106200,4,80,Desafiante (2º-5º local),False,685.5546153846154,26.0,5.0,69.0,0.9191
31369772,COLEGIO OLIMPO BH,3106200,5,80,Desafiante (2º-5º local),False,683.428,10.0,5.0,38.0,0.9171
35103524,DANTE ALIGHIERI COLEGIO,3550308,2,417,Desafiante (2º-5º local),False,686.9325276461295,211.0,5.0,863.0,0.9157
35143406,AUGUSTO LARANJA COLEGIO UNIDADE I,3550308,3,417,Desafiante (2º-5º local),False,686.9142857142857,21.0,5.0,109.0,0.9155
24069191,CENTRO DE EDUCACAO INTEGRADA S A - ROMUALDO,2408102,3,44,Desafiante (2º-5º local),False,698.3012949640288,139.0,4.0,436.0,0.9148
29485541,COLEGIO BERNOULLI,2927408,2,74,Desafiante (2º-5º local),False,731.7037475345168,169.0,4.0,564.0,0.9103
26156202,MD EDUCACIONAL- COLEGIO MADRE DE DEUS UNIDADE II,2611606,4,67,Desafiante (2º-5º local),False,681.981037037037,135.0,5.0,450.0,0.9101
26137631,COLEGIO NUCLEO,2611606,5,67,Desafiante (2º-5º local),False,728.8309803921569,153.0,4.0,496.0,0.9099
53056000,COL OLIMPO,5300108,2,98,Desafiante (2º-5º local),False,727.3460805860806,91.0,4.0,342.0,0.909
