codigo_escola,NO_ENTIDADE,codigo_municipio,rank_municipio,n_escolas_confiaveis_municipio,segmento_comercial,rede_propria_poliedro,enem_media_geral,qtd_participantes_enem,indice_infra,QT_MAT_MED,score_destaque,produto_alvo,enem_media_geral_2024,qtd_participantes_enem_2024,enem_media_2anos,delta_enem_2025_2024
22025740,INSTITUTO DOM BARRETO CENTRO,2211001,1.0,52,Líder local,False,750.2618245614035,190.0,5.0,729.0,0.9662,Poliedro,740.1926177024483,177.0,745.4055585831063,10.069206858955226
53020570,COL PODION ENS FUND E MEDIO,5300108,1.0,117,Líder local,False,743.7908333333334,184.0,5.0,517.0,0.9654,Poliedro,,,743.7908333333334,
31004651,COLEGIO SANTO AGOSTINHO,3106200,1.0,110,Líder local,False,721.6742675159236,314.0,5.0,1070.0,0.9613,Poliedro,711.3602721088436,294.0,716.6869078947369,10.313995407080029
22022481,ANBEAS - COLEGIO SAGRADO CORACAO DE JESUS,2211001,2.0,52,Desafiante (2º-5º local),False,715.8326907630523,83.0,5.0,374.0,0.9592,Poliedro,712.3023529411764,102.0,713.8862342342343,3.5303378218758326
33063729,COLEGIO SANTO INACIO,3304557,1.0,344,Líder local,False,702.6909822866344,207.0,5.0,664.0,0.9522,Poliedro,694.2442261904762,224.0,698.3010208816705,8.446756096158197
31006394,COLEGIO MARISTA DOM SILVERIO,3106200,2.0,110,Desafiante (2º-5º local),False,702.5437037037036,99.0,5.0,458.0,0.9519,Poliedro,701.7916374269006,114.0,702.1411893583725,0.7520662768030206
25097539,COLEGIO E CURSO EVOLUCAO,2507507,1.0,55,Líder local,False,701.570786516854,89.0,5.0,249.0,0.9512,Poliedro,709.8766153846154,65.0,705.0764935064936,-8.30582886776142
23246871,ARI DE SA CAVALCANTE - MARIO MAMEDE,2304400,1.0,117,Líder local,False,801.290625,32.0,5.0,106.0,0.9486,Poliedro,755.0852941176471,34.0,777.4878787878788,46.20533088235288
33057109,COLEGIO LA SALLE ABEL,3303302,1.0,42,Líder local,False,697.3395061728395,162.0,5.0,463.0,0.9485,Poliedro,690.7047281323877,141.0,694.2520352035203,6.634778040451806
24057134,COLEGIO MARISTA DE NATAL,2408102,1.0,48,Líder local,False,697.0012865497076,171.0,5.0,564.0,0.9481,Poliedro,688.2867175572519,131.0,693.2211258278146,8.714568992455725
31004812,COLEGIO SANTO ANTONIO,3106200,3.0,110,Desafiante (2º-5º local),False,751.41197740113,177.0,5.0,655.0,0.947,Poliedro,749.4875000000001,184.0,750.4310803324099,1.9244774011299342
27220885,COLEGIO CONTATO MACEIO,2704302,1.0,63,Líder local,False,695.4914649681529,157.0,5.0,496.0,0.9466,Poliedro,673.8842051282052,195.0,683.5215340909091,21.607259839947687
23245573,MASTER COLEGIO,2304400,2.0,117,Desafiante (2º-5º local),False,748.7124324324325,37.0,5.0,132.0,0.9465,Poliedro,738.9097297297297,37.0,743.8110810810812,9.802702702702732
26189569,COLEGIO COGNITIVO,2611606,1.0,76,Líder local,False,736.5988571428571,70.0,5.0,305.0,0.9452,Poliedro,724.8477272727273,88.0,730.053924050633,11.75112987012983
26534711,COLEGIO COGNITIVO,2611606,2.0,76,Desafiante (2º-5º local),False,736.4080303030303,132.0,5.0,433.0,0.9451,Poliedro,728.9612612612613,111.0,733.0064197530864,7.446769041769016
31004031,COLEGIO SANTA MARCELINA,3106200,4.0,110,Desafiante (2º-5º local),False,729.8276470588235,68.0,5.0,266.0,0.9438,Poliedro,728.1967567567567,74.0,728.9777464788732,1.6308903020667458
33062633,COL DE SAO BENTO,3304557,2.0,344,Desafiante (2º-5º local),False,728.5694117647059,68.0,5.0,207.0,0.9435,Poliedro,732.6521212121212,66.0,730.5802985074628,-4.0827094474152545
26118165,COLEGIO EQUIPE,2611606,3.0,76,Desafiante (2º-5º local),False,727.4376271186441,59.0,5.0,234.0,0.943,Poliedro,711.516923076923,65.0,719.0920967741936,15.920704041721024
33063656,ASSOCIACAO DO COLEGIO NOSSA SENHORA DE SION,3304557,3.0,344,Desafiante (2º-5º local),False,692.3626666666667,15.0,5.0,51.0,0.943,Poliedro,687.6759999999999,15.0,690.0193333333334,4.686666666666724
23272430,ARI DE SA CAVALCANTE - ALDEOTA,2304400,3.0,117,Desafiante (2º-5º local),False,727.3330325814536,133.0,5.0,658.0,0.9427,Poliedro,722.8284219001611,207.0,724.5905196078431,4.504610681292547
33104220,RECANTO INF IMACULADA CONCEICAO,3304557,4.0,344,Desafiante (2º-5º local),False,689.8397777777778,90.0,5.0,311.0,0.9409,Poliedro,706.4522222222222,78.0,697.5526984126984,-16.61244444444435
33100713,COL SAINT JOHN,3304557,5.0,344,Desafiante (2º-5º local),False,689.3208333333333,24.0,5.0,82.0,0.9404,Poliedro,684.6236842105263,38.0,686.441935483871,4.697149122806991
33065403,COLEGIO SANTO AGOSTINHO,3304557,6.0,344,Outras posições,False,715.884,125.0,5.0,436.0,0.9398,Poliedro,717.058954248366,153.0,716.5306474820145,-1.1749542483660207
35805555,EMBRAER JUAREZ WANDERLEY COLEGIO,3549904,1.0,27,Líder local,False,715.7219607843138,153.0,5.0,475.0,0.9393,Poliedro,708.2820309050772,151.0,712.0264692982457,7.439929879236502
32041152,ESCOLA SAO DOMINGOS,3205309,1.0,18,Líder local,False,712.7585585585585,74.0,5.0,256.0,0.9377,Poliedro,706.4353846153847,65.0,709.8016786570744,6.323173943173856
