codigo_escola,NO_ENTIDADE,codigo_municipio,rank_municipio,n_escolas_confiaveis_municipio,segmento_comercial,enem_media_geral,qtd_participantes_enem,indice_infra,QT_MAT_MED,score_destaque,nome_municipio_ibge,uf,CO_CEP,DS_ENDERECO,NU_ENDERECO,bairro,logradouro_viacep,erro_geocodificacao
26534711,COLEGIO COGNITIVO,2611606,2,70,Desafiante (2º-5º local),736.4080303030303,132.0,5.0,433.0,0.9502,Recife,PE,52060460,RUA SANTANNA,213,Santana,Rua Sant'Anna,
26118165,COLEGIO EQUIPE,2611606,3,70,Desafiante (2º-5º local),727.4376271186441,59.0,5.0,234.0,0.9485,Recife,PE,50610050,DEMOSTENES DE OLINDA,121,Madalena,Rua Demóstenes de Olinda,
33057206,INSTITUTO GAYLUSSAC - ENS FUNDAMENTAL E MEDIO,3303302,2,38,Desafiante (2º-5º local),713.3588000000001,100.0,5.0,300.0,0.9444,Niterói,RJ,24365050,MARIA CALDAS,35,São Francisco,Rua Maria Caldas,
32040040,COLEGIO PRIMEIRO MUNDO,3205309,2,16,Desafiante (2º-5º local),702.2151724137931,29.0,5.0,95.0,0.9394,Vitória,ES,29055420,CONSTANTE SODRE,655,Praia do Canto,Rua Constante Sodré,
32040032,CE LEONARDO DA VINCI,3205309,3,16,Desafiante (2º-5º local),695.9213333333333,50.0,5.0,219.0,0.9356,Vitória,ES,29056910,"RUA ELIAS TOMMASI SOBRINHO, 154",154,Santa Lúcia,Rua Elias Tommasi Sobrinho,
31387860,COLEGIO MAGNUM AGOSTINIANO,3106200,2,88,Desafiante (2º-5º local),694.66,11.0,5.0,63.0,0.9343,Belo Horizonte,MG,30130188,JOAO PINHEIRO,580,Lourdes,Avenida João Pinheiro,
31006157,COLEGIO LOGOSOFICO GONZALEZ PECOTCHE,3106200,3,88,Desafiante (2º-5º local),693.8408888888889,45.0,5.0,150.0,0.9338,Belo Horizonte,MG,30150322,PIAUI,742,Santa Efigênia,Rua Piauí,
43104975,CENTRO DE ENSINO MEDIO FARROUPILHA - UNIDADE DE ENSINO COLEGIO FARROUPILHA,4314902,2,45,Desafiante (2º-5º local),692.887231638418,177.0,5.0,625.0,0.9327,Porto Alegre,RS,91330150,CARLOS HUBER,425,Três Figueiras,Rua Carlos Huber,
32074964,COLEGIO SALESIANO JARDIM CAMBURI,3205309,4,16,Desafiante (2º-5º local),689.4235087719298,57.0,5.0,225.0,0.9306,Vitória,ES,29090480,DEPUTADO OTAVIANO RODRIGUES DE CARVALHO,360,Jardim Camburi,Rua Deputado Otaviano Rodrigues de Carvalho,
26197405,COLEGIO EXIMIUS,2611606,4,70,Desafiante (2º-5º local),688.2833333333334,42.0,5.0,141.0,0.9294,Recife,PE,52060460,RUA DE SANTANNA,511,Santana,Rua Sant'Anna,
32041411,CENTRO DE ENSINO CHARLES DARWIN,3205309,5,16,Desafiante (2º-5º local),685.6892340425532,235.0,5.0,655.0,0.9268,Vitória,ES,29065730,DESEMBARGADOR VICENTE CAETANO,116,Mata da Praia,Rua Desembargador Vicente Caetano,
31309711,ESCOLA SEB UNIMASTER,3106200,4,88,Desafiante (2º-5º local),685.5546153846154,26.0,5.0,69.0,0.9263,Belo Horizonte,MG,30492020,ENGENHEIRO ALBERTO PONTES,280,Buritis,Rua Engenheiro Alberto Pontes,
53013670,C EDUCACIONAL LEONARDO DA VINCI - UNIDADE TAGUATINGA,5300108,2,101,Desafiante (2º-5º local),683.7619366852887,179.0,5.0,547.0,0.9252,Brasília,DF,71953100,QS 3 RUA 420,02 B,Areal,Quadra QS 3 Rua 420,
31369772,COLEGIO OLIMPO BH,3106200,5,88,Desafiante (2º-5º local),683.428,10.0,5.0,38.0,0.9247,Belo Horizonte,MG,30210420,DOS BANDEIRANTES,2222,Mangabeiras,Avenida dos Bandeirantes,
43215050,COLEGIO BERTONI MED,4314902,3,45,Desafiante (2º-5º local),682.5307692307692,13.0,5.0,14.0,0.9241,Porto Alegre,RS,90540120,AUXILIADORA,191,Auxiliadora,Rua Auxiliadora,
26156202,MD EDUCACIONAL- COLEGIO MADRE DE DEUS UNIDADE II,2611606,5,70,Desafiante (2º-5º local),681.981037037037,135.0,5.0,450.0,0.9237,Recife,PE,51130300,JOAO CARDOSO AIRES,705,Boa Viagem,Rua João Cardoso Aires,
53020006,C EDUCACIONAL SIGMA - ASA NORTE,5300108,3,101,Desafiante (2º-5º local),680.6918181818181,88.0,5.0,330.0,0.9224,Brasília,DF,70790100,SGAN 910,910,Asa Norte,Quadra SGAN 910,
53015347,C EDUCACIONAL SIGMA AGUAS CLARAS,5300108,4,101,Desafiante (2º-5º local),677.5172151898735,79.0,5.0,238.0,0.9185,Brasília,DF,71939720,14,02,Sul (Águas Claras),Rua 14,
52034054,COLEGIO PROGRESSIVO,5208707,2,63,Desafiante (2º-5º local),677.0464978902953,79.0,5.0,263.0,0.9179,Goiânia,GO,74423080,DOMINGOS ABREU VIEIRA,748,Cidade Jardim,Rua Domingos Abreu Vieira,
53001222,C EDUCACIONAL SIGMA,5300108,5,101,Desafiante (2º-5º local),675.3353333333333,90.0,5.0,368.0,0.916,Brasília,DF,70310500,DOS ESTADOS,912,Asa Sul,Galeria dos Estados,
52034046,COLEGIO PREVEST,5208707,3,63,Desafiante (2º-5º local),670.8133064516129,124.0,5.0,490.0,0.9109,Goiânia,GO,74020030,5,202,Setor Central,Rua 5,
