codigo_escola;NO_ENTIDADE;codigo_municipio;rank_municipio;n_escolas_confiaveis_municipio;segmento_comercial;rede_propria_poliedro;enem_media_geral;qtd_participantes_enem;indice_infra;QT_MAT_MED;score_destaque;produto_alvo;enem_media_geral_2024;qtd_participantes_enem_2024;enem_media_2anos;delta_enem_2025_2024;cidade;UF;score_priorizacao_cidade;distrito;LATITUDE;LONGITUDE;cep;bairro;granularidade_geo;renda_mediana_responsavel;renda_categoria;sistema_ensino_identificado;confianca;ja_cliente_poliedro_qualquer_marca
22025740;INSTITUTO DOM BARRETO CENTRO;2211001;1,0;52;Líder local;False;750,2618245614035;190,0;5,0;729,0;0,966;Poliedro;740,1926177024483;177,0;745,4055585831063;10,069206858955226;Teresina;PI;0,7817;Teresina;;;64000250;CENTRO;nao_aplicavel;3000,0;Média-Alta (R$ 3.000-4.999);Poliedro;confirmado;True
53020570;COL PODION ENS FUND E MEDIO;5300108;1,0;117;Líder local;False;743,7908333333334;184,0;5,0;517,0;0,965;Poliedro;;;743,7908333333334;;Brasília;DF;0,9278;Brasília;;;70790131;ASA NORTE;nao_aplicavel;3000,0;Média-Alta (R$ 3.000-4.999);SAS (Arco Educação);confirmado;False
31004651;COLEGIO SANTO AGOSTINHO;3106200;1,0;110;Líder local;False;721,6742675159236;314,0;5,0;1070,0;0,961;Poliedro;711,3602721088436;294,0;716,6869078947369;10,313995407080029;Belo Horizonte;MG;0,9738;Belo Horizonte;-19,92601992;-43,94960403;30180007;SANTO AGOSTINHO;nao_aplicavel;10000,0;Alta (≥ R$ 5.000);SAS (Arco Educação);confirmado;False
22022481;ANBEAS - COLEGIO SAGRADO CORACAO DE JESUS;2211001;2,0;52;Desafiante (2º-5º local);False;715,8326907630523;83,0;5,0;374,0;0,959;Poliedro;712,3023529411764;102,0;713,8862342342343;3,530337821875833;Teresina;PI;0,7817;Teresina;-5,089079;-42,80923;64000020;CENTRO;nao_aplicavel;3000,0;Média-Alta (R$ 3.000-4.999);Bernoulli;confirmado;False
33063729;COLEGIO SANTO INACIO;3304557;1,0;344;Líder local;False;702,6909822866344;207,0;5,0;664,0;0,952;Poliedro;694,2442261904762;224,0;698,3010208816705;8,446756096158197;Rio de Janeiro;RJ;0,8408;Rio de Janeiro;-22,94975;-43,19007;22260004;BOTAFOGO;bairro;8000,0;Alta (≥ R$ 5.000);FTD;confirmado;False
31006394;COLEGIO MARISTA DOM SILVERIO;3106200;2,0;110;Desafiante (2º-5º local);False;702,5437037037036;99,0;5,0;458,0;0,952;Poliedro;701,7916374269006;114,0;702,1411893583725;0,7520662768030206;Belo Horizonte;MG;0,9738;Belo Horizonte;-19,9421069;-43,9349607;30330010;SÃO PEDRO;nao_aplicavel;8000,0;Alta (≥ R$ 5.000);Marista (FTD, rede fechada);confirmado;False
25097539;COLEGIO E CURSO EVOLUCAO;2507507;1,0;55;Líder local;False;701,570786516854;89,0;5,0;249,0;0,951;Poliedro;709,8766153846154;65,0;705,0764935064936;-8,30582886776142;João Pessoa;PB;0,8675;João Pessoa;-7,12282;-34,83462;58043210;MIRAMAR;nao_aplicavel;6000,0;Alta (≥ R$ 5.000);Bernoulli;confirmado;False
23246871;ARI DE SA CAVALCANTE - MARIO MAMEDE;2304400;1,0;117;Líder local;False;801,290625;32,0;5,0;106,0;0,949;Poliedro;755,0852941176471;34,0;777,4878787878788;46,20533088235288;Fortaleza;CE;0,8208;Fortaleza;-3,78850469;-38,47881069;60834366;EDSON QUEIROZ;nao_aplicavel;1300,0;Baixa (< R$ 1.800);SAS (Arco Educação);confirmado;False
33057109;COLEGIO LA SALLE ABEL;3303302;1,0;42;Líder local;False;697,3395061728395;162,0;5,0;463,0;0,948;Poliedro;690,7047281323877;141,0;694,2520352035203;6,634778040451806;Niterói;RJ;0,9692;Niterói;-22,90029353;-43,10944729;24230150;ICARAÍ;nao_aplicavel;8200,0;Alta (≥ R$ 5.000);livro didático avulso (múltiplas editoras);confirmado;False
24057134;COLEGIO MARISTA DE NATAL;2408102;1,0;48;Líder local;False;697,0012865497076;171,0;5,0;564,0;0,948;Poliedro;688,2867175572519;131,0;693,2211258278146;8,714568992455725;Natal;RN;0,8531;Natal;-5,79039403;-35,20478848;59020130;TIROL;nao_aplicavel;10000,0;Alta (≥ R$ 5.000);Marista (FTD, rede fechada);confirmado;False
