cidade;granularidade;regiao;qtd_escolas_confiaveis;qtd_participantes_enem;enem_ponderado;qtd_escolas_elegiveis;amostra_significativa;rank_enem_na_cidade;rank_volume_na_cidade;qtd_golden_leads
Rio de Janeiro;regiao_administrativa;II Centro;3;187;701,9;4;True;1,0;23,0;2
Rio de Janeiro;regiao_administrativa;VI Lagoa;9;474;662,3;10;True;2,0;15,0;5
Rio de Janeiro;regiao_administrativa;IV Botafogo;24;944;645,8;32;True;3,0;4,0;14
Rio de Janeiro;regiao_administrativa;XXIV Barra da Tijuca;54;2168;643,5;73;True;4,0;1,0;26
Rio de Janeiro;regiao_administrativa;VIII Tijuca;13;952;634,3;23;True;5,0;8,0;7
Rio de Janeiro;regiao_administrativa;V Copacabana;5;129;621,6;7;True;6,0;16,0;1
Rio de Janeiro;regiao_administrativa;IX Vila Isabel;11;409;620,0;16;True;7,0;10,0;3
Rio de Janeiro;regiao_administrativa;XXIII Santa Teresa;1;25;613,8;1;False;8,0;24,0;0
Rio de Janeiro;regiao_administrativa;XX Ilha do Governador;18;469;611,5;25;True;9,0;7,0;5
Rio de Janeiro;regiao_administrativa;XVI Jacarepaguá;43;1885;608,3;65;True;10,0;2,0;10
Rio de Janeiro;regiao_administrativa;XIII Méier;19;650;589,9;30;True;11,0;5,0;3
Rio de Janeiro;regiao_administrativa;VII São Cristóvão;2;197;583,4;5;False;12,0;20,0;0
Rio de Janeiro;regiao_administrativa;XV Madureira;18;722;582,7;26;True;13,0;6,0;3
Rio de Janeiro;regiao_administrativa;XIV Irajá;15;541;574,4;18;True;14,0;9,0;0
Rio de Janeiro;regiao_administrativa;X Ramos;11;363;572,3;16;True;15,0;10,0;2
Rio de Janeiro;regiao_administrativa;XVIII Campo Grande;26;975;564,3;39;True;16,0;3,0;2
Rio de Janeiro;regiao_administrativa;XI Penha;2;44;561,2;5;False;17,0;20,0;0
Rio de Janeiro;regiao_administrativa;XVII Bangu;11;390;559,2;16;True;18,0;10,0;0
Rio de Janeiro;regiao_administrativa;XXVI Guaratiba;4;100;554,6;7;True;19,0;16,0;0
Rio de Janeiro;regiao_administrativa;XIX Santa Cruz;9;253;549,1;14;True;20,0;13,0;0
Rio de Janeiro;regiao_administrativa;XXXIII Realengo;10;291;546,4;12;True;21,0;14,0;0
Rio de Janeiro;regiao_administrativa;XXXI Vigário Geral;2;32;543,4;7;False;22,0;16,0;0
Rio de Janeiro;regiao_administrativa;XXII Anchieta;2;84;540,7;6;False;23,0;19,0;0
Rio de Janeiro;regiao_administrativa;XII Inhaúma;2;23;537,6;5;False;24,0;20,0;0
São Paulo;distrito;Vila Mariana;8;1044;701,8;9;True;1,0;22,0;6
São Paulo;distrito;Moema;8;351;679,0;10;True;2,0;14,0;3
São Paulo;distrito;Jardim Paulista;2;237;677,9;6;False;3,0;42,0;1
São Paulo;distrito;Bela Vista;2;255;671,5;2;False;4,0;76,0;2
São Paulo;distrito;Rio Pequeno;4;234;670,5;6;True;5,0;42,0;2
São Paulo;distrito;Campo Belo;5;115;668,6;7;True;6,0;33,0;2
São Paulo;distrito;Morumbi;2;87;667,8;5;False;7,0;52,0;1
São Paulo;distrito;Vila Andrade;3;136;662,9;7;True;8,0;33,0;2
São Paulo;distrito;Alto de Pinheiros;1;10;657,1;1;False;9,0;85,0;1
São Paulo;distrito;Barra Funda;3;212;643,3;5;True;10,0;52,0;1
