codigo_municipio;nome_municipio_ibge;uf;bairro;qtd_escolas_confiaveis;qtd_participantes_enem;enem_ponderado;qtd_escolas_elegiveis;amostra_significativa;qtd_golden_leads;nivel_renda;confianca_match;renda_media_responsavel;renda_mediana_responsavel
1500107;Abaetetuba;PA;CENTRO;1;66;585,8;1;False;0;bairro;exato;2624,89;1500,0
1500107;Abaetetuba;PA;SAO LOURENCO;1;18;575,6;1;False;0;bairro;exato;2075,14;1212,0
2900702;Alagoinhas;BA;ALAGOINHAS VELHA;1;10;467,2;1;False;0;distrito (aproximado);exato;2106,01;1212,0
2900702;Alagoinhas;BA;CENTRO;3;108;591,7;5;True;0;distrito (aproximado);exato;2106,01;1212,0
2900702;Alagoinhas;BA;JARDIM PETROLAR;1;25;667,5;1;False;1;distrito (aproximado);exato;2106,01;1212,0
2900702;Alagoinhas;BA;SEVERINO VIEIRA;1;54;632,2;1;False;1;distrito (aproximado);exato;2106,01;1212,0
1500602;Altamira;PA;ESPLANADA DO XINGU;1;18;608,3;1;False;0;bairro;exato;4376,73;2424,0
1500602;Altamira;PA;JARDIM UIRAPURU;1;11;425,6;1;False;0;bairro;exato;3428,45;2000,0
1500602;Altamira;PA;SUDAM I;1;12;593,1;1;False;0;bairro;exato;3074,17;1828,0
1500602;Altamira;PA;JARDIM INDEPENDENTE II;1;19;580,2;1;False;0;bairro;exato;3228,26;1600,0
4300604;Alvorada;RS;AMERICANA;1;16;575,6;1;False;0;distrito (aproximado);exato;2364,23;1800,0
4300604;Alvorada;RS;TIJUCA;1;24;555,9;1;False;0;distrito (aproximado);exato;2364,23;1800,0
3501608;Americana;SP;CAMPO LIMPO;1;58;578,7;1;False;0;distrito (aproximado);exato;4145,76;3000,0
3501608;Americana;SP;CENTRO;2;74;611,7;2;False;1;distrito (aproximado);exato;4145,76;3000,0
3501608;Americana;SP;JARDIM NOSSA SENHORA DE FATIMA;2;225;636,2;2;False;1;distrito (aproximado);exato;4145,76;3000,0
3501608;Americana;SP;PARQUE UNIVERSITARIO;1;44;598,4;1;False;0;distrito (aproximado);exato;4145,76;3000,0
3501608;Americana;SP;VILA SANTO ANTONIO;2;102;607,7;2;False;1;distrito (aproximado);exato;4145,76;3000,0
1500800;Ananindeua;PA;AGUAS BRANCAS;1;20;577,5;1;False;0;distrito (aproximado);exato;2433,07;1300,0
1500800;Ananindeua;PA;ATALAIA;1;11;552,2;1;False;0;distrito (aproximado);exato;2433,07;1300,0
1500800;Ananindeua;PA;CENTRO;3;121;573,5;4;True;0;distrito (aproximado);exato;2433,07;1300,0
1500800;Ananindeua;PA;CIDADE NOVA;9;502;586,2;9;True;1;distrito (aproximado);exato;2433,07;1300,0
1500800;Ananindeua;PA;COQUEIRO;5;190;575,4;5;True;0;distrito (aproximado);exato;2433,07;1300,0
1500800;Ananindeua;PA;DISTRITO INDUSTRIAL;1;26;572,7;1;False;0;distrito (aproximado);exato;2433,07;1300,0
1500800;Ananindeua;PA;GUANABARA;1;23;546,1;1;False;0;distrito (aproximado);exato;2433,07;1300,0
1500800;Ananindeua;PA;MAGUARI;1;13;619,3;1;False;0;distrito (aproximado);exato;2433,07;1300,0
3300100;Angra dos Reis;RJ;SÃO BENTO;1;13;612,3;1;False;0;bairro;exato;6941,53;5450,0
3300100;Angra dos Reis;RJ;PARQUE DAS PALMEIRAS;3;61;630,0;4;True;1;bairro;exato;6899,34;5000,0
3300100;Angra dos Reis;RJ;PRAIA DA RIBEIRA;1;22;554,6;1;False;0;bairro;exato;5691,24;4000,0
3300100;Angra dos Reis;RJ;PRAIA DO JARDIM;1;13;570,4;1;False;0;bairro;exato;5162,12;4000,0
3300100;Angra dos Reis;RJ;CENTRO;2;21;589,2;2;False;0;bairro;exato;4114,92;3000,0
3300100;Angra dos Reis;RJ;JACUACANGA;1;20;570,9;2;False;0;bairro;exato;4336,35;3000,0
3300100;Angra dos Reis;RJ;JACUECANGA;1;11;541,0;1;False;0;bairro;fuzzy;4336,35;3000,0
3300100;Angra dos Reis;RJ;NOVA ANGRA;1;11;530,5;1;False;0;bairro;exato;2284,9;1700,0
5201108;Anápolis;GO;CENTRO;1;28;692,1;3;False;1;distrito (aproximado);exato;3164,11;2000,0
5201108;Anápolis;GO;CIDADE JARDIM;1;13;609,1;1;False;0;distrito (aproximado);exato;3164,11;2000,0
5201108;Anápolis;GO;JUNDIAÍ;4;224;629,7;6;True;1;distrito (aproximado);exato;3164,11;2000,0
