unidade_propria;coordenada_exata;escola_lead;cidade;bairro;segmento_comercial;score_destaque;distancia_km;risco_canibalizacao
São Paulo (Vila Mariana, coord. aproximada);False;ETAPA III COLEGIO;São Paulo;VILA MARIANA;Outras posições;0,7962;0,49;ALTO (<=2km)
São Paulo (Vila Mariana, coord. aproximada);False;ETAPA COLEGIO DE EFM;São Paulo;VILA MARIANA;Outras posições;0,8788;0,5;ALTO (<=2km)
São José dos Campos (Jd. Esplanada);True;COLEGIO ANGLO ALANTE SAO JOSE DOS CAMPOS;São José dos Campos;JARDIM ESPLANADA;Desafiante (2º-5º local);0,8301;0,54;ALTO (<=3km)
São José dos Campos (Jd. Esplanada);True;ALPHA LUMEN INSTITUTO;São José dos Campos;JARDIM ESPLANADA II;Outras posições;0,7889;0,56;ALTO (<=3km)
São Paulo (Vila Mariana, coord. aproximada);False;BENJAMIN CONSTANT COLEGIO;São Paulo;VILA MARIANA;Outras posições;0,7504;0,71;ALTO (<=2km)
São Paulo (Vila Mariana, coord. aproximada);False;BANDEIRANTES COLEGIO EFM;São Paulo;VILA MARIANA;Outras posições;0,8652;0,93;ALTO (<=2km)
Campinas (Taquaral);True;PROGRESSO CAMPINEIRO COLEGIO;Campinas;CAMBUI;Líder local;0,8944;1,25;ALTO (<=3km)
São Paulo (Perdizes/Barra Funda);True;PENTAGONO COLEGIO UNIDADE CAIUBI;São Paulo;PERDIZES;Outras posições;0,8551;1,55;ALTO (<=2km)
São Paulo (Perdizes/Barra Funda);True;EQUIPE COLEGIO;São Paulo;SANTA CECILIA;Outras posições;0,743;1,9;ALTO (<=2km)
São Paulo (Vila Mariana, coord. aproximada);False;ESCOLA CARANDA VIVA VIDA;São Paulo;MIRANDOPOLIS;Outras posições;0,7867;1,91;ALTO (<=2km)
São José dos Campos (Jd. Esplanada);True;INSTITUTO EDUCACIONAL IGUATEMY ESCOLA DE EI EF E EM;São José dos Campos;VILA ADYANA;Desafiante (2º-5º local);0,8046;1,92;ALTO (<=3km)
São Paulo (Vila Mariana, coord. aproximada);False;NOSSA SENHORA DO ROSARIO COLEGIO;São Paulo;VILA MARIANA;Outras posições;0,8856;2,16;MODERADO (2-5km)
São Paulo (Perdizes/Barra Funda);True;OBJETIVO CENTRO INTERESCOLAR UNIDADE POMPEIA;São Paulo;AGUA BRANCA;Outras posições;0,7061;2,27;MODERADO (2-5km)
São Paulo (Vila Mariana, coord. aproximada);False;PIONEIRO CENTRO EDUCACIONAL;São Paulo;VILA CLEMENTINO;Outras posições;0,7655;2,42;MODERADO (2-5km)
São Paulo (Vila Mariana, coord. aproximada);False;OBJETIVO COLEGIO INTEGRADO;São Paulo;BELA VISTA;Líder local;0,9266;2,47;MODERADO (2-5km)
São Paulo (Vila Mariana, coord. aproximada);False;OBJETIVO CENTRO INTERESCOLAR UNIDADE PAULISTA;São Paulo;BELA VISTA;Outras posições;0,831;2,47;MODERADO (2-5km)
São José dos Campos (Jd. Esplanada);True;COLEGIO PLANCK;São José dos Campos;JARDIM ALVORADA;Desafiante (2º-5º local);0,8188;2,52;ALTO (<=3km)
São Paulo (Vila Mariana, coord. aproximada);False;OBJETIVO CENTRO INTERESCOLAR UNIDADE IPIRANGA;São Paulo;IPIRANGA;Outras posições;0,7335;2,6;MODERADO (2-5km)
São Paulo (Perdizes/Barra Funda);True;COLEGIO ANGLO SAO PAULO;São Paulo;VILA CLEMENTINO;Outras posições;0,8063;2,98;MODERADO (2-5km)
São Paulo (Vila Mariana, coord. aproximada);False;DANTE ALIGHIERI COLEGIO;São Paulo;JARDIM PAULISTA;Desafiante (2º-5º local);0,9157;3,11;MODERADO (2-5km)
