codigo_escola;NO_ENTIDADE;codigo_municipio;segmento_comercial;rede_propria_poliedro;score_destaque;sistema_ensino_identificado;confianca;fonte_resumo
31006394;COLEGIO MARISTA DOM SILVERIO;3106200;Desafiante (2º-5º local);False;0,9519;Sistema Marista (produzido pela Editora FTD, exclusivo da Rede Marista);confirmado;Colégio Marista Dom Silvério (BH) — usa o Sistema Marista de Educação (SME), material produzido pela FTD só pra rede Marista, não vendido a escolas de fora
31004812;COLEGIO SANTO ANTONIO;3106200;Desafiante (2º-5º local);False;0,947;não identificado;provavel_proprio;"Colégio Santo Antônio (BH) — CORRIGIDO: lista oficial de material da 3ª série EM (2026, fonte primária) mostra livros avulsos de Moderna/Ática/SM/Saraiva/FTD por matéria, não sistema integrado; contradiz snippet anterior sobre 'Fibonacci' (provavelmente item pontual, não o currículo)"
23245573;MASTER COLEGIO;2304400;Desafiante (2º-5º local);False;0,9465;Sistema Eleva (Grupo Eleva Educação);confirmado;Master Colégio (Fortaleza) — usa material Eleva (Portal do Aluno, conteúdo interdisciplinar)
26534711;COLEGIO COGNITIVO;2611606;Desafiante (2º-5º local);False;0,9451;não identificado;provavel_proprio;Colégio Cognitivo (Recife, unidade Boa Viagem) — mesma rede/material da unidade Casa Forte
31004031;COLEGIO SANTA MARCELINA;3106200;Desafiante (2º-5º local);False;0,9438;Sistema FTD;confirmado;"Colégio Santa Marcelina (BH) — lista de material 2026 do próprio colégio cita ""FTD Sistema de Ensino"" para pelo menos parte do currículo (1ª série EM)"
33062633;COL DE SAO BENTO;3304557;Desafiante (2º-5º local);False;0,9435;não identificado;provavel_proprio;Colégio de São Bento (RJ) — tradição beneditina de 163 anos, sem menção a sistema de terceiros
26118165;COLEGIO EQUIPE;2611606;Desafiante (2º-5º local);False;0,943;Sistema Equipe (Grupo Equipe, independente/regional Norte-Nordeste);confirmado;Colégio Equipe (Recife) — Sistema de Ensino Equipe, com editora própria (marca própria da rede, vendida a outras escolas do Norte/Nordeste)
33063656;ASSOCIACAO DO COLEGIO NOSSA SENHORA DE SION;3304557;Desafiante (2º-5º local);False;0,943;não identificado;nao_identificado;"Associação do Colégio Nossa Senhora de Sion (RJ) — usa metodologia Montessori e material próprio ""Território da Leitura"", sem sistema de terceiros nomeado; ATENÇÃO: uma unidade Sion diferente (Vila Maria, provavelmente SP) foi mencionada usando Sistema Poliedro num post — não se aplica a esta unidade específica do RJ"
23272430;ARI DE SA CAVALCANTE - ALDEOTA;2304400;Desafiante (2º-5º local);False;0,9427;Sistema SAS (Grupo Arco Educação);confirmado;Ari de Sá Cavalcante - Aldeota (Fortaleza) — mesma rede/material SAS da unidade Mário Mamede
33104220;RECANTO INF IMACULADA CONCEICAO;3304557;Desafiante (2º-5º local);False;0,9409;não identificado;nao_identificado;Recanto Inf. Imaculada Conceição — busca não trouxe menção a sistema de ensino
33100713;COL SAINT JOHN;3304557;Desafiante (2º-5º local);False;0,9404;não identificado;nao_identificado;Colégio Saint John (Barra da Tijuca) — busca não trouxe menção a sistema de ensino
24057169;FACEX;2408102;Desafiante (2º-5º local);False;0,9339;Sistema SAS (Grupo Arco Educação);confirmado;FACEX (Natal) — corrigido pelo Gui (24/07): usa Sistema SAS de Ensino
15167275;COLEGIO EQUIPE LTDA;1501402;Desafiante (2º-5º local);False;0,9262;Sistema Equipe (Grupo Equipe, independente/regional Norte-Nordeste);confirmado;"Colegio Equipe Ltda — mesma rede/marca propria Equipe ja confirmada em Recife e Belem (2 unidades concordando); registrado por padrao de rede"
23071036;ARI DE SA CAVALCANTE - WASHINGTON SOARES;2304400;Desafiante (2º-5º local);False;0,9261;Sistema SAS (Grupo Arco Educação);confirmado;"Ari De Sa Cavalcante - Washington Soares — mesma rede Ari de Sa Cavalcante ja confirmada em 2 outras unidades (SAS); registrado por padrao de rede"
35103524;DANTE ALIGHIERI COLEGIO;3550308;Desafiante (2º-5º local);False;0,9123;não identificado;provavel_proprio;Dante Alighieri — currículo ítalo-brasileiro reconhecido pelo governo italiano, material próprio
35143406;AUGUSTO LARANJA COLEGIO UNIDADE I;3550308;Desafiante (2º-5º local);False;0,9121;não identificado;nao_identificado;Augusto Laranja (Moema) — parceria Cambridge International, mas sem menção a sistema de ensino nacional
29485541;COLEGIO BERNOULLI;2927408;Desafiante (2º-5º local);False;0,9036;Sistema Bernoulli (Grupo Bernoulli Educação, independente);confirmado;"Colegio Bernoulli — marca do sistema aparece literalmente no nome oficial da escola no Censo (mesma lógica do rede_propria_poliedro); registrado sem busca nova"
35165347;MOBILE COLEGIO;3550308;Desafiante (2º-5º local);False;0,9017;não identificado;nao_identificado;Mobile Colégio — busca não retornou informação suficiente
43108164;COL MARISTA NOSSA SENHORA DO ROSARIO;4314902;Desafiante (2º-5º local);False;0,8916;Sistema Marista (produzido pela Editora FTD, exclusivo da Rede Marista);confirmado;"Col Marista Nossa Senhora Do Rosario — Rede Marista nacional, SME/FTD e exclusivo da rede inteira (fato estrutural confirmado, nao por unidade); registrado por padrao de rede"
52033848;COLEGIO SANTO AGOSTINHO;5208707;Desafiante (2º-5º local);False;0,8876;não identificado;provavel_proprio;"Colégio Santo Agostinho (Goiânia) — REDE DIFERENTE da de BH/Nova Lima/Contagem: mantido pela Congregação Agostinianas Missionárias (agostinianas.com.br), não Agostinianos Recoletos; material recomendado próprio, sem sistema de terceiros citado"
29447518;COLEGIO MARISTA DE PATAMARES;2927408;Desafiante (2º-5º local);False;0,8856;Sistema Marista (produzido pela Editora FTD, exclusivo da Rede Marista);confirmado;"Colegio Marista De Patamares — Rede Marista nacional, SME/FTD e exclusivo da rede inteira (fato estrutural confirmado, nao por unidade); registrado por padrao de rede"
31291986;CENTRO EDUCACIONAL DIVINOPOLIS-ANGLO;3122306;Desafiante (2º-5º local);False;0,8848;Sistema Anglo (Grupo Cogna);confirmado;"Centro Educacional Divinopolis-Anglo — marca do sistema aparece literalmente no nome oficial da escola no Censo (mesma lógica do rede_propria_poliedro); registrado sem busca nova"
25093088;COLEGIO MARISTA PIO X;2507507;Desafiante (2º-5º local);False;0,8695;Sistema Marista (produzido pela Editora FTD, exclusivo da Rede Marista);confirmado;"Colegio Marista Pio X — Rede Marista nacional, SME/FTD e exclusivo da rede inteira (fato estrutural confirmado, nao por unidade); registrado por padrao de rede"
35114820;MARISTA COLEGIO DE RIBEIRAO PRETO;3543402;Desafiante (2º-5º local);False;0,8672;Sistema Marista (produzido pela Editora FTD, exclusivo da Rede Marista);confirmado;"Marista Colegio De Ribeirao Preto — Rede Marista nacional, SME/FTD e exclusivo da rede inteira (fato estrutural confirmado, nao por unidade); registrado por padrao de rede"
35583224;COLEGIO COC;3548708;Desafiante (2º-5º local);False;0,8665;Sistema COC;confirmado;"Colegio Coc — marca do sistema aparece literalmente no nome oficial da escola no Censo (mesma lógica do rede_propria_poliedro); registrado sem busca nova"
32038224;COLEGIO MARISTA NOSSA SENHORA DA PENHA;3205200;Desafiante (2º-5º local);False;0,863;Sistema Marista (produzido pela Editora FTD, exclusivo da Rede Marista);confirmado;"Colegio Marista Nossa Senhora Da Penha — Rede Marista nacional, SME/FTD e exclusivo da rede inteira (fato estrutural confirmado, nao por unidade); registrado por padrao de rede"
41127242;COLEGIO MARISTA ANJO DA GUARDA EI EF EM;4106902;Desafiante (2º-5º local);False;0,8629;Sistema Marista (produzido pela Editora FTD, exclusivo da Rede Marista);confirmado;"Colegio Marista Anjo Da Guarda Ei Ef Em — Rede Marista nacional, SME/FTD e exclusivo da rede inteira (fato estrutural confirmado, nao por unidade); registrado por padrao de rede"
41133153;COLEGIO MARISTA SANTA MARIA EI EF EM;4106902;Desafiante (2º-5º local);False;0,8589;Sistema Marista (produzido pela Editora FTD, exclusivo da Rede Marista);confirmado;"Colegio Marista Santa Maria Ei Ef Em — Rede Marista nacional, SME/FTD e exclusivo da rede inteira (fato estrutural confirmado, nao por unidade); registrado por padrao de rede"
31166332;COLEGIO MARISTA DIOCESANO;3170107;Desafiante (2º-5º local);False;0,8547;Sistema Marista (produzido pela Editora FTD, exclusivo da Rede Marista);confirmado;"Colegio Marista Diocesano — Rede Marista nacional, SME/FTD e exclusivo da rede inteira (fato estrutural confirmado, nao por unidade); registrado por padrao de rede"
17046807;COLEGIO MARISTA PALMAS;1721000;Desafiante (2º-5º local);False;0,8393;Sistema Marista (produzido pela Editora FTD, exclusivo da Rede Marista);confirmado;"Colegio Marista Palmas — Rede Marista nacional, SME/FTD e exclusivo da rede inteira (fato estrutural confirmado, nao por unidade); registrado por padrao de rede"
42053480;COLEGIO MARISTA SAO FRANCISCO EI EF EM;4204202;Desafiante (2º-5º local);False;0,8378;Sistema Marista (produzido pela Editora FTD, exclusivo da Rede Marista);confirmado;"Colegio Marista Sao Francisco Ei Ef Em — Rede Marista nacional, SME/FTD e exclusivo da rede inteira (fato estrutural confirmado, nao por unidade); registrado por padrao de rede"
35007022;COLEGIO OBJETIVO DE PIRACICABA;3538709;Desafiante (2º-5º local);False;0,8374;Sistema Objetivo (Grupo Objetivo/UNIP, independente);confirmado;"Colegio Objetivo De Piracicaba — marca do sistema aparece literalmente no nome oficial da escola no Censo (mesma lógica do rede_propria_poliedro); registrado sem busca nova"
31170402;COL MARISTA CHAMPAGNAT;3170206;Desafiante (2º-5º local);False;0,8254;Sistema Marista (produzido pela Editora FTD, exclusivo da Rede Marista);confirmado;"Col Marista Champagnat — Rede Marista nacional, SME/FTD e exclusivo da rede inteira (fato estrutural confirmado, nao por unidade); registrado por padrao de rede"
35137170;COLEGIO ANGLO ALANTE SAO JOSE DOS CAMPOS;3549904;Desafiante (2º-5º local);False;0,8229;Sistema Anglo (Grupo Cogna);confirmado;"Colegio Anglo Alante Sao Jose Dos Campos — marca do sistema aparece literalmente no nome oficial da escola no Censo (mesma lógica do rede_propria_poliedro); registrado sem busca nova"
31096261;COL MARISTA SAO JOSE;3143302;Desafiante (2º-5º local);False;0,82;Sistema Marista (produzido pela Editora FTD, exclusivo da Rede Marista);confirmado;"Col Marista Sao Jose — Rede Marista nacional, SME/FTD e exclusivo da rede inteira (fato estrutural confirmado, nao por unidade); registrado por padrao de rede"
35809159;OBJETIVO DE SAO JOSE DO RIO PRETO COLEGIO;3549805;Desafiante (2º-5º local);False;0,8157;Sistema Objetivo (Grupo Objetivo/UNIP, independente);confirmado;"Objetivo De Sao Jose Do Rio Preto Colegio — marca do sistema aparece literalmente no nome oficial da escola no Censo (mesma lógica do rede_propria_poliedro); registrado sem busca nova"
50005405;COLEGIO MARISTA ALEXANDER FLEMING;5002704;Desafiante (2º-5º local);False;0,8114;Sistema Marista (produzido pela Editora FTD, exclusivo da Rede Marista);confirmado;"Colegio Marista Alexander Fleming — Rede Marista nacional, SME/FTD e exclusivo da rede inteira (fato estrutural confirmado, nao por unidade); registrado por padrao de rede"
35175572;POLIEDRO COLEGIO;3549904;Desafiante (2º-5º local);True;0,8008;Sistema Poliedro;confirmado;Poliedro Colégio (São José dos Campos) — unidade própria/franquia Poliedro, nome no Censo
33147450;COLEGIO ANGLO AMERICANO;3306305;Desafiante (2º-5º local);False;0,7996;Sistema Anglo (Grupo Cogna);confirmado;"Colegio Anglo Americano — marca do sistema aparece literalmente no nome oficial da escola no Censo (mesma lógica do rede_propria_poliedro); registrado sem busca nova"
35126974;OBJETIVO INTEGRADO DE MOGI DAS CRUZES COLEGIO;3530607;Desafiante (2º-5º local);False;0,7993;Sistema Objetivo (Grupo Objetivo/UNIP, independente);confirmado;"Objetivo Integrado De Mogi Das Cruzes Colegio — marca do sistema aparece literalmente no nome oficial da escola no Censo (mesma lógica do rede_propria_poliedro); registrado sem busca nova"
43121900;COLEGIO MARISTA SANTA MARIA;4316907;Desafiante (2º-5º local);False;0,7932;Sistema Marista (produzido pela Editora FTD, exclusivo da Rede Marista);confirmado;"Colegio Marista Santa Maria — Rede Marista nacional, SME/FTD e exclusivo da rede inteira (fato estrutural confirmado, nao por unidade); registrado por padrao de rede"
21272921;INST EDUCACIONAL SUL MARANHENSE COC;2105302;Desafiante (2º-5º local);False;0,7907;Sistema COC;confirmado;"Inst Educacional Sul Maranhense Coc — marca do sistema aparece literalmente no nome oficial da escola no Censo (mesma lógica do rede_propria_poliedro); registrado sem busca nova"
