codigo_escola;sistema_ensino_identificado;confianca;fonte_resumo
35810939;Anglo (Cogna/SOMOS);confirmado;pesquisa manual Gui (30/07) — Senior Colégio, Santos/SP, achado explorando a 3ª página do Power BI (produto_alvo=nenhum, rank_municipio=5 em Santos)
15209806;;nao_identificado;"Claude-in-Chrome (03/08) — Centro Educacional Fonte do Saber, Ananindeua/PA. Busca não trouxe sinal claro do sistema de ensino usado; instagram oficial (@ce.fontedosaber) sem menção. Não confundir com trecho de resultado que mencionava 'Sistema de Ensino COC', que pertencia a outra conta/post."
15173330;Sistema de Ensino Estrela (Rede La Salle);confirmado;Claude-in-Chrome (03/08) — Colégio La Salle Ananindeua. Confirmado em 2 posts do Instagram oficial (@lasalle.ananindeua): 'EXPERIÊNCIA BILÍNGUE SISTEMA DE ENSINO ESTRELA' e 'Photo by Sistema de Ensino Estrela'. Outras unidades da Rede La Salle (outras cidades) usam Editora Positivo ou COC — não generalizar, sistema varia por unidade.
15164543;Sistema de Ensino Etapa;confirmado;Claude-in-Chrome (03/08) — Sistema Educacional Cristão Semear, Ananindeua/PA. Confirmado em múltiplos posts do Instagram oficial (@semearsistemaeducacional): 'contamos com o Sistema de Ensino Etapa' e 'Sistema de Ensino Etapa – referência nacional'.
15096009;próprio (SIELP);provavel_proprio;Claude-in-Chrome (03/08) — SIELP / Sistema Integrado de Ensino Lima Pinheiro, Ananindeua/PA. 'SIELP' É o próprio nome/marca da escola (não um sistema de terceiros licenciado) — Instagram e Facebook oficiais só reforçam a marca própria, sem citar material de editora externa.
52099490;Sistema PH;confirmado;"Claude-in-Chrome (03/08) — Colégio Líder, Aparecida de Goiânia/GO. Confirmado no site oficial (colegiolidergo.com.br): listas de material PDF do Fund. II citam 'SISTEMA DE ENSINO PH'; página do Fund. I cita 'Sistema de Ensino Plurall' (plataforma digital, comum em conjunto com sistemas do grupo SOMOS) — predomina PH."
52031772;;nao_identificado;"Claude-in-Chrome (03/08) — Colégio Sul D'América, Aparecida de Goiânia/GO. Instituição parece atuar também como faculdade (Sul da América/SULDAMÉRICA no ensino superior); nenhuma fonte própria (site/Instagram oficial) encontrada citando sistema de ensino da educação básica. Um perfil individual no Escavador menciona 'Editora Positivo' em 2012, mas é histórico profissional de uma pessoa, não confirmação do material atual da escola — não usar como fonte."
27215083;Bernoulli;confirmado;Claude-in-Chrome (03/08) — Escola Santa Clara de Assis, Arapiraca/AL. Confirmado em múltiplos posts do Instagram oficial (@escolastaclara.assis), incl. menção a 'consultora do Sistema de Ensino Bernoulli'.
27258009;Bernoulli (Infantil/Fund. I) + Anglo (demais séries);confirmado;Claude-in-Chrome (03/08) — Colégio Multivisão, Arapiraca/AL. Instagram oficial (@colegiomultivisao) confirma DOIS sistemas por segmento: 'Infantil ao 3º ano MATERIAL DIDÁTICO SISTEMA BERNOULLI' e, em outro post, 'Sistema de Ensino Anglo Líder' — escola usa portfólio de parceiros, não um único sistema.
27016439;;nao_identificado;Claude-in-Chrome (03/08) — Colégio Nossa Senhora Rosa Mística, Arapiraca/AL. Sinais CONFLITANTES entre fontes/datas: menções antigas a 'Sistema COC' (Educa Mais Brasil, Sindpol AL, sem data clara), post do Instagram oficial há 7 meses citando 'Sistema de Ensino Orion', TikTok há 6 meses citando parceria com 'SAE Digital', e site oficial (colegiorosamistica.com.br) só descreve uma metodologia própria de avaliação ('trilhas'), sem citar a editora/sistema licenciado atual. Preferi marcar como não identificado a chutar qual é o vigente.
27255018;Bernoulli;confirmado;"Claude-in-Chrome (03/08) — Colégio Sagrada Família, Arapiraca/AL. Post mais recente do Instagram oficial (@colegiosagradafamiliaal, há 1 mês) diz 'ESCOLA PARCEIRA Bernoulli Sistema de Ensino'; post mais antigo (8 meses) citava FTD — fiquei com o mais recente."
27056589;;nao_identificado;Claude-in-Chrome (03/08) — Colégio Alfa (Ens. Fund. e Médio), Arapiraca/AL. Nome muito genérico — busca trouxe vários 'Colégio Alfa' de outras cidades (Salto/SP, Alfa Profissionalizantes, Alfa Rede de Ensino) sem relação. A única conta do Instagram geograficamente confirmada em Arapiraca (@colegioalfa_, post citando 'ETA AGRESTE, Arapiraca') só menciona 'sistema de ensino 100% digital', sem nome de marca — risco de colisão de nome, não confirmar sem checar no local.
35160453;Sistema Poliedro de Ensino;confirmado;Claude-in-Chrome (03/08) — 'BALAO AZUL DINAMICO ESCOLA EDUCACAO INF E ENS FUNDAMENTAL', Bauru/SP (endereço Bernardino de Campos, bate com o Censo). Esse é o nome legal/Censo do 'Colégio Dinâmico', que no site oficial (dinamicovestibulares.com.br) declara explicitamente: 'Material Didático: Utiliza o Sistema Poliedro de Ensino e a plataforma P+ como base acadêmica' — confirmado em várias páginas do próprio site, não só num post solto. Escola parceira Poliedro (marca própria + material Poliedro), não unidade própria — padrão normal da rede.
25071068;;nao_identificado;Claude-in-Chrome (03/08) — Colégio Djanira Tavares, Campina Grande/PB (endereço R. Dr. João Cariri 160, Cruzeiro, bate com o Censo). Existe um case-study da 'Sistema de Ensino pH' com esse mesmo nome de escola, mas o texto da página não confirma a cidade/estado — e há pelo menos outro 'Colégio Djanira Tavares' homônimo em Pindamonhangaba/SP nos resultados. Risco de colisão de nome, não confirmei sem certeza de que o case da pH é desta unidade.
50007874;Edebê (Rede Salesiana) + SAS (Arco Educação);confirmado;Claude-in-Chrome (03/08) — Centro de Ens. Nossa Senhora Auxiliadora, Campo Grande/MS. Confirmado no site oficial (auxiliadoracg.com.br, páginas /edebe e /sas, endereço Pedro Celestino 1980 bate com o Censo): usa Edebê (material da Rede Salesiana Brasil) para a base pedagógica e Plataforma SAS como reforço para ENEM/vestibular — dois sistemas complementares, não um só.
33106754;Sistema Poliedro de Ensino;confirmado;Claude-in-Chrome (03/08) — 'COLEGIO PROFESSOR CLOVIS TAVARES PRO-UNI', Campos dos Goytacazes/RJ. Esse é o nome legal/Censo do 'Colégio Pró-Uni' (confirmado via Scribd: 'COOPERATIVA DE TRABALHO COLEGIO PROFESSOR CLOVIS TAVARES' = Colégio Pró-Uni). Quero Bolsa e edital de bolsas do próprio colégio (colegioprouni.com.br, PDF) confirmam 'sistema de ensino Poliedro'. Mesmo padrão do achado de Bauru — escola parceira, nome do Censo não menciona Poliedro.
