codigo_escola;NO_ENTIDADE;cidade
33062609;COLEGIO CRUZEIRO-CENTRO;Rio de Janeiro
31006238;COLEGIO LOYOLA;Belo Horizonte
33078866;ASSOCIACAO EDUCACIONAL GARRIGA DE MENEZES;Rio de Janeiro
33057206;INSTITUTO GAYLUSSAC - ENS FUNDAMENTAL E MEDIO;Niterói
26122081;COLEGIO DAS DAMAS DA INSTRUCAO CRISTA;Recife
32040032;CE LEONARDO DA VINCI;Vitória
31387860;COLEGIO MAGNUM AGOSTINIANO;Belo Horizonte
31006157;COLEGIO LOGOSOFICO GONZALEZ PECOTCHE;Belo Horizonte
23067071;COLEGIO CHRISTUS BARAO DE STUDART;Fortaleza
25306936;ESCOLA INTERNACIONAL CIDADE VIVA;João Pessoa
23498994;COLEGIO CHRISTUS UNIDADE PARQUELANDIA;Fortaleza
25093061;COLEGIO NOSSA SENHORA DE LOURDES;João Pessoa
33055866;COLEGIO MARILIA MATTOSO;Niterói
43104975;CENTRO DE ENSINO MEDIO FARROUPILHA - UNIDADE DE ENSINO COLEGIO FARROUPILHA;Porto Alegre
31309711;ESCOLA SEB UNIMASTER;Belo Horizonte
31004359;COLEGIO ESPANHOL SANTA MARIA MINAS - UNIDADE CIDADE NOVA;Belo Horizonte
31369772;COLEGIO OLIMPO BH;Belo Horizonte
31007196;COLEGIO SANTA DOROTEIA;Belo Horizonte
24069191;CENTRO DE EDUCACAO INTEGRADA S A - ROMUALDO;Natal
24084263;COLEGIO MARIE JOST;Natal
35136025;COLEGIO VISCONDE DE PORTO SEGURO CAMPUS VALINHOS;Valinhos
31005975;INSTITUTO CORACAO DE JESUS;Belo Horizonte
23246880;CHRISTUS COLEGIO PRE UNIVERSITARIO;Fortaleza
53056000;COL OLIMPO;Brasília
23076208;PROVECTO COLEGIO;Fortaleza
35162243;COLEGIO VISCONDE DE PORTO SEGURO CAMPUS PANAMBY;São Paulo
24089214;CENTRO DE EDUCACAO INTEGRADA S A - ROBERTO FREIRE;Natal
26197405;COLEGIO EXIMIUS;Recife
43175317;SOCIEDADE EDUCACIONAL MARIO QUINTANA LTDA;Pelotas
31205231;COL N SRA DE LOURDES;Lavras
35173186;LICEU JARDIM;Santo André
23462442;COLEGIO CHRISTUS UNIDADE SUL;Fortaleza
31004731;COLEGIO MAGNUM AGOSTINIANO;Belo Horizonte
28017943;COLEGIO AMADEUS LTDA;Aracaju
33063648;COLEGIO SAO VICENTE DE PAULO;Rio de Janeiro
31294110;COLEGIO BURITIS AGOSTINIANO;Belo Horizonte
23275936;COLEGIO SHALOM;Fortaleza
33142726;COL ISRAELITA BRAS A LIESSIN SCHOLEM ALEICHEM;Rio de Janeiro
35112513;PROGRESSO CAMPINEIRO COLEGIO;Campinas
29530210;SARTRE ESCOLA SEB - MONET;Lauro de Freitas
43215050;COLEGIO BERTONI MED;Porto Alegre
22023658;EDUCANDARIO SANTA MARIA GORETTI;Teresina
43107494;CENTRO DE ENSINO MEDIO PASTOR DOHMS-UNIDADE DE ENSINO HIGIENOPOLIS;Porto Alegre
53020006;C EDUCACIONAL SIGMA - ASA NORTE;Brasília
31004952;COLEGIO SANTA MARIA MINAS - UNIDADE PAMPULHA;Belo Horizonte
33087539;ESCOLA SUICO-BRASILEIRA RIO DE JANEIRO BY SWISS INTERNATIONAL SCHOOLS;Rio de Janeiro
33165920;COLEGIO E CURSO PENSI;Niterói
33021740;ABMSA COL NS DAS MERCES;Nova Friburgo
22142622;GRUPO EDUCACIONAL CEV - UNIDADE KENNEDY;Teresina
33025673;PENSI CASULO RIO DAS OSTRAS;Rio das Ostras
53001320;COL MADRE CARMEN SALLES;Brasília
53015347;C EDUCACIONAL SIGMA AGUAS CLARAS;Brasília
35109708;CARMO COLEGIO;Santos
31193038;COLEGIO CATOLICA PADRE DE MAN;Coronel Fabriciano
31105899;COLEGIO COMERCIAL ITABIRANO;Itabira
13099981;CENTRO EDUCACIONAL LATO SENSU III;Manaus
23274859;ANTARES ATS COLEGIO;Fortaleza
12028835;COLEGIO LATO SENSU;Rio Branco
33085846;ESC BRETANHA JD INFANCIA TIO CARECA;Rio de Janeiro
53015789;COLEGIO OLIMPO AGUAS CLARAS;Brasília
28018109;CURSO COLEGIO MODULO LTDA;Aracaju
42012023;ESCOLA NORMAL E GINASIO MADRE TERESA MICHEL;Criciúma
52034046;COLEGIO PREVEST;Goiânia
53013670;C EDUCACIONAL LEONARDO DA VINCI - UNIDADE TAGUATINGA;Brasília
31004111;COLEGIO SAO JOSE DE ENSINO FUNDAMENTAL E MEDIO;Belo Horizonte
23243350;FARIAS BRITO JOVEM SEIS BOCAS COLEGIO;Fortaleza
35100432;JARDIM SAO PAULO COLEGIO;São Paulo
24350303;CENTRO DE EDUCACAO INTEGRADA MAIS LTDA;Natal
52068986;COLEGIO WR;Goiânia
33021660;COLEGIO ANCHIETA;Nova Friburgo
33173931;ESCOLA CAROLINA PATRICIO - UNIDADE GOLFE OLIMPICO;Rio de Janeiro
26117584;COLEGIO APOIO;Recife
35114960;COLEGIO SANTA URSULA DE RIBEIRAO PRETO;Ribeirão Preto
31354910;CENTRO EDUCACIONAL CAVE;Juiz de Fora
24097004;COLEGIO CIENCIAS APLICADAS;Natal
13025872;CENTRO EDUCACIONAL LATO SENSU;Manaus
35131660;BRASILIA DE SAO PAULO COLEGIO;São Paulo
35103421;LICEU DE ARTES E OFICIOS DE SAO PAULO;São Paulo
35480617;EMBRAER COLEGIO CASIMIRO MONTENEGRO FILHO;Botucatu
23065591;FARIAS BRITO COLEGIO CENTRAL;Fortaleza
29342880;COLEGIO HELYOS;Feira de Santana
15567672;COLEGIO CEI;Belém
35480745;BEACON SCHOOL;São Paulo
31328294;COLEGIO UNIVERSITARIO PROFESSOR CANISIO IGNACIO LUNKES;Lavras
33115460;COL BAHIENSE - CAMPO GRANDE;Rio de Janeiro
33092346;COLEGIO SANTA MARIA;São João de Meriti
53001087;C EDUCACIONAL LEONARDO DA VINCI;Brasília
53001095;C EDUCACIONAL LEONARDO DA VINCI - UNID NORTE;Brasília
33148376;ESCOLA PARQUE - BARRA;Rio de Janeiro
31005622;COLEGIO NOSSA SENHORA DAS DORES - UNIDADE POMPEIA;Belo Horizonte
31074101;COLEGIO ACADEMIA;Juiz de Fora
31317101;COLEGIO APOGEU DE ENSINO FUNDAMENTAL E ENSINO MEDIO;Juiz de Fora
35105648;COLEGIO VISCONDE DE PORTO SEGURO CAMPUS MORUMBI;São Paulo
23491035;COLEGIO CHRISTUS DIONISIO TORRES;Fortaleza
23077042;ANTARES ATS COLEGIO;Fortaleza
26163039;COLEGIO GGE;Recife
28017803;COLEGIO DE CIENCIAS PURA E APLICADA;Aracaju
43104924;COLEGIO ANCHIETA;Porto Alegre
33064393;INSTITUTO NOSSA SENHORA DA PIEDADE;Rio de Janeiro
21273456;MAPLE BEAR SAO LUIS;São Luís
31074098;COLEGIO DOS JESUITAS;Juiz de Fora
31180611;COLEGIO DOS SANTOS ANJOS;Varginha
43105670;COLEGIO SINODAL DO SALVADOR;Porto Alegre
26124220;COLEGIO SANTA MARIA;Recife
22144714;SAO JOSE LESTE;Teresina
33065314;COL NOTRE DAME - IPANEMA;Rio de Janeiro
33179999;LME 542 EMPREENDIMENTOS EDUCACIONAIS SS LTDA;Niterói
23066814;COLEGIO SANTA CECILIA;Fortaleza
29182409;COLEGIO MODULO;Salvador
41150392;COLEGIO PASSO CERTO GROWING BILINGUE - EDUCACAO INFANTIL ENSINO FUNDAMENTAL E MEDIO;Cascavel
24001260;COLEGIO DIOCESANO SANTA LUZIA;Mossoró
33066574;COL DOS SANTOS ANJOS;Rio de Janeiro
41131789;BOM JESUS SEMINARIO;Curitiba
23165952;PARAISO SS LTDA COLEGIO;Juazeiro do Norte
31193160;INST EDUC MAYRINK VIEIRA;Ipatinga
31385433;COLEGIO DETERMINANTE;Belo Horizonte
29542618;COLEGIO OFICINA DE VITORIA DA CONQUISTA;Vitória da Conquista
42203600;COLEGIO TRILINGUE INOVACAO;Chapecó
32040210;ESCOLA CRESCER;Vitória
43172423;COLEGIO LEONARDO DA VINCI-ALFA;Porto Alegre
31249483;INST ITALO BRASILEIRO BICULTURAL;Nova Lima
31004197;COLEGIO SANTA MARIA MINAS - UNIDADE FLORESTA;Belo Horizonte
22025391;ESCOLA DOM BOSCO;Teresina
15066886;E PART E I F M INST NSRA DOS ANJOS;Abaetetuba
43173390;COLEGIO SANTA MONICA ALTOS DO LARANJAL;Pelotas
31365874;ESCOLA EDUCAR - ENSINO MEDIO;Belo Horizonte
50027956;COLEGIO HARMONIA - UNIDADE I;Campo Grande
31329762;COL GENOMA II;Governador Valadares
33447250;COLEGIO INTERATIVO ENSINO MEDIO;Volta Redonda
31384909;COLEGIO OLIMPO TRIANGULO MINEIRO;Uberlândia
35141434;ESCOLA SEB THATHI;Araçatuba
33039976;AESVP COLEGIO VICENTINO SANTA ISABEL;Petrópolis
33185590;COLEGIO CURSO TAMANDARE;Rio de Janeiro
23075961;ANTARES ATS COLEGIO;Fortaleza
21199809;COLEGIO LITERATO;São Luís
13168207;CENTRO EDUCACIONAL ADALBERTO VALLE - UNIDADE I;Manaus
