cidade;UF;posicao_local_real;NO_ENTIDADE;codigo_escola;score_destaque;golden_lead
Belo Horizonte;MG;2;COLEGIO MARISTA DOM SILVERIO;31006394;0.9519;True
Belo Horizonte;MG;3;COLEGIO SANTO ANTONIO;31004812;0.947;True
Belo Horizonte;MG;4;COLEGIO SANTA MARCELINA;31004031;0.9438;True
Belo Horizonte;MG;5;COLEGIO LOYOLA;31006238;0.9334;True
Niterói;RJ;2;INSTITUTO GAYLUSSAC - ENS FUNDAMENTAL E MEDIO;33057206;0.9328;True
Niterói;RJ;3;COLEGIO MARILIA MATTOSO;33055866;0.9184;True
Niterói;RJ;4;COLEGIO E CURSO PENSI;33165920;0.8818;True
Niterói;RJ;5;ISJB - COLEGIO SALESIANO REGIAO OCEANICA;33155259;0.8487;True
Vitória;ES;2;CE LEONARDO DA VINCI;32040032;0.9274;True
Vitória;ES;3;COLEGIO PRIMEIRO MUNDO;32040040;0.9268;True
Vitória;ES;4;COLEGIO SALESIANO JARDIM CAMBURI;32074964;0.8961;True
Vitória;ES;5;CENTRO DE ENSINO CHARLES DARWIN;32041411;0.891;True
Florianópolis;SC;2;COLEGIO DA LAGOA;42133114;0.7853;True
Florianópolis;SC;3;DUAL INTERNATIONAL SCHOOL;42163021;0.7845;True
Florianópolis;SC;4;ASAV - COLEGIO CATARINENSE;42000670;0.78;True
Florianópolis;SC;5;COLEGIO BOM JESUS CORACAO DE JESUS;42000238;0.7749;True
Brasília;DF;2;COL OLIMPO;53056000;0.9023;True
Brasília;DF;4;COL MADRE CARMEN SALLES;53001320;0.8801;True
Brasília;DF;5;C EDUCACIONAL SIGMA AGUAS CLARAS;53015347;0.88;True
Brasília;DF;6;C EDUCACIONAL SIGMA;53001222;0.8766;True
Porto Alegre;RS;2;CENTRO DE ENSINO MEDIO FARROUPILHA - UNIDADE DE ENSINO COLEGIO FARROUPILHA;43104975;0.9183;True
Porto Alegre;RS;3;COLEGIO MAE DE DEUS;43107419;0.8933;True
Porto Alegre;RS;4;COL MARISTA NOSSA SENHORA DO ROSARIO;43108164;0.8916;True
Porto Alegre;RS;5;COLEGIO BERTONI MED;43215050;0.8875;True
Recife;PE;2;COLEGIO COGNITIVO;26534711;0.9451;True
Recife;PE;3;COLEGIO EQUIPE;26118165;0.943;True
Recife;PE;4;COLEGIO DAS DAMAS DA INSTRUCAO CRISTA;26122081;0.9296;True
Recife;PE;6;COLEGIO NUCLEO;26137631;0.9031;True
Ribeirão Preto;SP;2;PEQUENO PRINCIPE COLEGIO;35114832;0.8928;True
Ribeirão Preto;SP;3;ESCOLA SEB UNIDADE ALVARES CABRAL;35290804;0.877;True
Ribeirão Preto;SP;4;MARISTA COLEGIO DE RIBEIRAO PRETO;35114820;0.8672;True
Ribeirão Preto;SP;6;EINSTEIN COLEGIO;35186429;0.8131;True
São Caetano do Sul;SP;2;ARBOS COLEGIO UNIDADE MARECHAL DEODORO;35802839;0.7812;True
São Caetano do Sul;SP;3;ATENEU DE SAO CAETANO DO SUL COLEGIO UNIDADE III;35139208;0.7144;True
São Caetano do Sul;SP;4;EDUARDO GOMES COLEGIO;35135203;0.6847;False
São Caetano do Sul;SP;5;SAGRADA FAMILIA INSTITUTO DE ENSINO;35109198;0.6748;False
João Pessoa;PB;2;ESCOLA INTERNACIONAL CIDADE VIVA;25306936;0.9201;True
João Pessoa;PB;3;COLEGIO NOSSA SENHORA DE LOURDES;25093061;0.9186;True
João Pessoa;PB;4;COLEGIO MARISTA PIO X;25093088;0.8695;True
João Pessoa;PB;5;COLEGIO GGE;25133861;0.865;True
