prospect;codigo_escola;cidade;UF;bairro_prospect;segmento_comercial;score_destaque;parceiro_mais_proximo;bairro_parceiro;parceiro_eh_unidade_propria;distancia_km;faixa_proximidade
COLEGIO CLASSE A UNIDADE II;50033239;Campo Grande;MS;MONTE CASTELO;Outras posições;0.529;COLEGIO CLASSE A;MONTE CASTELO;False;0.02;mesmo entorno (<=1km)
ABACO III COLEGIO;35481014;São Bernardo do Campo;SP;ASSUNCAO;Outras posições;0.518;ABACO COLEGIO;ASSUNCAO;False;0.04;mesmo entorno (<=1km)
CASSIANO RICARDO COLEGIO;35118564;Taubaté;SP;CENTRO;Desafiante (2º-5º local);0.719;PROGRESSAO COLEGIO;CENTRO;False;0.07;mesmo entorno (<=1km)
PESSOA COLEGIO;35802244;Franca;SP;PROLONGAMENTO VILA DUQUE DE CAXIAS;Outras posições;0.64;NOVO COLEGIO SISTEMA DE ENSINO DE FRANCA LTDA;VILA NOSSA SENHORA DAS GRACAS;False;0.09;mesmo entorno (<=1km)
COLEGIO LOGOSOFICO GONZALEZ PECOTCHE;31006157;Belo Horizonte;MG;SANTA EFIGENIA;Outras posições;0.925;COLEGIO ARNALDO - UNIDADE FUNCIONARIOS;FUNCIONÁRIOS;False;0.18;mesmo entorno (<=1km)
COLEGIO ANCHIETA;27035018;Maceió;AL;JATIUCA;Outras posições;0.462;COLEGIO CONTATO MACEIO;JATIÚCA;False;0.21;mesmo entorno (<=1km)
OBJETIVO COLEGIO;35140193;Taubaté;SP;CENTRO;Desafiante (2º-5º local);0.76;PROGRESSAO COLEGIO;CENTRO;False;0.22;mesmo entorno (<=1km)
COLEGIO GRANDE PASSO;26173280;Recife;PE;BOA VIAGEM;Outras posições;0.694;MD EDUCACIONAL- COLEGIO MADRE DE DEUS UNIDADE II;BOA VIAGEM;False;0.23;mesmo entorno (<=1km)
COLEGIO GREGOR MENDEL;29182387;Salvador;BA;PITUBA;Outras posições;0.571;CURSO E COLEGIO LEFFLER;CAMINHO DAS ÁRVORES;False;0.31;mesmo entorno (<=1km)
COLEGIO DO SALVADOR;28017820;Aracaju;SE;JARDINS;Outras posições;0.816;COESI COLEGIO DE ORIENTACAO E ESTUDOS INTEGRADOS E ESCOLINHA DO RE MI EIRELI - EPP;GRAGERU;False;0.33;mesmo entorno (<=1km)
COLEGIO ROBERTO CARNEIRO;31041262;Divinópolis;MG;CENTRO;Desafiante (2º-5º local);0.889;INST N SRA DO SAGRADO CORACAO;CENTRO;False;0.34;mesmo entorno (<=1km)
COLEGIO BIONATUS;50030582;Campo Grande;MS;JARDIM DOS ESTADOS;Outras posições;0.465;COLEGIO HARMONIA - UNIDADE I;JARDIM DOS ESTADOS;False;0.4;mesmo entorno (<=1km)
COLEGIO MODULO;29182409;Salvador;BA;PITUBA;Outras posições;0.846;COLEGIO OFICINA;PITUBA;False;0.43;mesmo entorno (<=1km)
LA SALLE COLEGIO;35111454;Botucatu;SP;CENTRO;Desafiante (2º-5º local);0.59;ADV BOTUCATU UNIDADE IV COLEGIO;CENTRO;False;0.43;mesmo entorno (<=1km)
LUMIERE COLEGIO;35132986;São Paulo;SP;VILA GOMES CARDIM;Outras posições;0.579;AGOSTINIANO MENDEL COLEGIO;VILA GOMES CARDIM;False;0.47;mesmo entorno (<=1km)
