codigo_escola;NO_ENTIDADE;codigo_municipio;enem_media_geral;qtd_participantes_enem;QT_MAT_MED;indice_infra;score_destaque;produto_alvo
22025740;INSTITUTO DOM BARRETO CENTRO;2211001;750.2618245614035;190.0;729.0;5.0;0.9662;Poliedro
53020570;COL PODION ENS FUND E MEDIO;5300108;743.7908333333334;184.0;517.0;5.0;0.9654;Poliedro
31004651;COLEGIO SANTO AGOSTINHO;3106200;721.6742675159236;314.0;1070.0;5.0;0.9613;Poliedro
22022481;ANBEAS - COLEGIO SAGRADO CORACAO DE JESUS;2211001;715.8326907630523;83.0;374.0;5.0;0.9592;Poliedro
33063729;COLEGIO SANTO INACIO;3304557;702.6909822866344;207.0;664.0;5.0;0.9522;Poliedro
31006394;COLEGIO MARISTA DOM SILVERIO;3106200;702.5437037037036;99.0;458.0;5.0;0.9519;Poliedro
25097539;COLEGIO E CURSO EVOLUCAO;2507507;701.570786516854;89.0;249.0;5.0;0.9512;Poliedro
23246871;ARI DE SA CAVALCANTE - MARIO MAMEDE;2304400;801.290625;32.0;106.0;5.0;0.9486;Poliedro
33057109;COLEGIO LA SALLE ABEL;3303302;697.3395061728395;162.0;463.0;5.0;0.9485;Poliedro
24057134;COLEGIO MARISTA DE NATAL;2408102;697.0012865497076;171.0;564.0;5.0;0.9481;Poliedro
31004812;COLEGIO SANTO ANTONIO;3106200;751.41197740113;177.0;655.0;5.0;0.947;Poliedro
27220885;COLEGIO CONTATO MACEIO;2704302;695.4914649681529;157.0;496.0;5.0;0.9466;Poliedro
23245573;MASTER COLEGIO;2304400;748.7124324324325;37.0;132.0;5.0;0.9465;Poliedro
26189569;COLEGIO COGNITIVO;2611606;736.5988571428571;70.0;305.0;5.0;0.9452;Poliedro
26534711;COLEGIO COGNITIVO;2611606;736.4080303030303;132.0;433.0;5.0;0.9451;Poliedro
31004031;COLEGIO SANTA MARCELINA;3106200;729.8276470588235;68.0;266.0;5.0;0.9438;Poliedro
33062633;COL DE SAO BENTO;3304557;728.5694117647059;68.0;207.0;5.0;0.9435;Poliedro
26118165;COLEGIO EQUIPE;2611606;727.4376271186441;59.0;234.0;5.0;0.943;Poliedro
33063656;ASSOCIACAO DO COLEGIO NOSSA SENHORA DE SION;3304557;692.3626666666667;15.0;51.0;5.0;0.943;Poliedro
23272430;ARI DE SA CAVALCANTE - ALDEOTA;2304400;727.3330325814536;133.0;658.0;5.0;0.9427;Poliedro
33104220;RECANTO INF IMACULADA CONCEICAO;3304557;689.8397777777778;90.0;311.0;5.0;0.9409;Poliedro
33100713;COL SAINT JOHN;3304557;689.3208333333333;24.0;82.0;5.0;0.9404;Poliedro
33065403;COLEGIO SANTO AGOSTINHO;3304557;715.884;125.0;436.0;5.0;0.9398;Poliedro
35805555;EMBRAER JUAREZ WANDERLEY COLEGIO;3549904;715.7219607843138;153.0;475.0;5.0;0.9393;Poliedro
32041152;ESCOLA SAO DOMINGOS;3205309;712.7585585585585;74.0;256.0;5.0;0.9377;Poliedro
15168344;COLEGIO EQUIPE CRISTAL;1501402;686.5726315789474;57.0;203.0;5.0;0.9367;Poliedro
