cidade;UF;posicao_local;total_escolas_cidade;NO_ENTIDADE;codigo_escola;score_destaque;enem_media_geral;QT_MAT_MED;eh_parceiro_poliedro;eh_unidade_propria;melhor_posicao_parceiro_na_cidade
Aracaju;SE;1;40;CENTRO DE EXCELENCIA MASTER;28032322;0.9047;697.7;691.0;False;False;5
Aracaju;SE;2;40;COLEGIO AMADEUS LTDA;28017943;0.8943;674.2;253.0;False;False;5
Aracaju;SE;3;40;COLEGIO ARQUIDIOCESANO S CORACAO DE JESUS;28017781;0.883;678.9;239.0;False;False;5
Aracaju;SE;4;40;CURSO COLEGIO MODULO LTDA;28018109;0.8745;664.3;315.0;False;False;5
Aracaju;SE;5;40;COESI COLEGIO DE ORIENTACAO E ESTUDOS INTEGRADOS E ESCOLINHA DO RE MI EIRELI - EPP;28017757;0.8739;664.2;229.0;True;False;5
Aracaju;SE;6;40;COLEGIO DE CIENCIAS PURA E APLICADA;28017803;0.8508;662.4;355.0;False;False;5
Aracaju;SE;7;40;COLEGIO DO SALVADOR;28017820;0.8157;664.8;123.0;False;False;5
Aracaju;SE;8;40;NUCLEO AVANCADO DE ENSINO G8 LTDA;28037723;0.8153;686.3;143.0;False;False;5
Aracaju;SE;9;40;COLEGIO IDEAL LTDA-EPP;28032799;0.7657;670.0;192.0;False;False;5
Aracaju;SE;10;40;LICEU DE ESTUDOS INTEGRADOS;28020049;0.7651;643.3;132.0;False;False;5
Araçatuba;SP;1;12;ESCOLA SEB THATHI;35141434;0.8334;656.1;255.0;False;False;3
Araçatuba;SP;2;12;CIDADE DE ARACATUBA COLEGIO;35132780;0.7822;653.1;96.0;False;False;3
Araçatuba;SP;3;12;DELTA EDUCACIONAL;35007668;0.738;668.5;189.0;True;False;3
Araçatuba;SP;4;12;COLEGIO ARACA;35160600;0.6469;620.9;121.0;False;False;3
Araçatuba;SP;5;12;COLEGIO DEGRAU AMBIENTAL;35010308;0.6397;633.8;91.0;False;False;3
Araçatuba;SP;6;12;LUIZ LASAGNA DOM COLEGIO SALESIANO;35116671;0.4882;585.8;93.0;False;False;3
Araçatuba;SP;7;12;DE ANGELES UNID I COLEGIO;35288214;0.458;600.8;141.0;False;False;3
Araçatuba;SP;8;12;UNICOLEGIO ARACATUBA;35150988;0.4471;589.1;193.0;False;False;3
Araçatuba;SP;9;12;COLEGIO EXTENSAO;35116661;0.1953;552.8;101.0;False;False;3
Araçatuba;SP;10;12;INTEGRADO COLEGIO;35166169;0.1805;553.5;59.0;False;False;3
Atibaia;SP;1;11;SAO JOSE EXTERNATO;35112318;0.7823;642.1;136.0;True;False;1
Atibaia;SP;2;11;ATIBAIA COLEGIO INTEGRADO DE;35137881;0.7814;665.3;85.0;False;False;1
Atibaia;SP;3;11;CIDADE DE ATIBAIA COLEGIO;35155664;0.7141;663.6;108.0;False;False;1
Atibaia;SP;4;11;ATIBAIA COLEGIO;35143112;0.6604;638.3;83.0;False;False;1
Atibaia;SP;5;11;ESPACO EDUCACAO BASICA COLEGIO;35137224;0.6179;615.2;247.0;False;False;1
Atibaia;SP;6;11;ESCOLA INTERNACIONAL PREPARANDO GERACOES;35805973;0.5947;627.7;119.0;False;False;1
Atibaia;SP;7;11;COLEGIO FAAT ENSINO FUNDAMENTAL E MEDIO;35185243;0.4438;594.7;292.0;False;False;1
Atibaia;SP;8;11;COLEGIO PRESBITERIANO DE ATIBAIA;35006275;0.4217;587.3;100.0;False;False;1
Atibaia;SP;9;11;SAO PAULO COLEGIO EDUC INF ENS FUND E MEDIO;35112306;0.3896;577.9;97.0;False;False;1
Atibaia;SP;10;11;ESCOLA CEFI;35135951;0.2448;562.7;68.0;False;False;1
Belo Horizonte;MG;1;102;COLEGIO SANTO AGOSTINHO;31004651;0.9613;721.7;1070.0;False;False;8
Belo Horizonte;MG;2;102;COLEGIO MARISTA DOM SILVERIO;31006394;0.9519;702.5;458.0;False;False;8
Belo Horizonte;MG;3;102;COLEGIO SANTO ANTONIO;31004812;0.947;751.4;655.0;False;False;8
