codigo_escola;NO_ENTIDADE;codigo_municipio;cidade;UF;segmento_comercial;produto_alvo;rank_municipio;n_escolas_confiaveis_municipio;score_destaque;enem_media_geral;qtd_participantes_enem;QT_MAT_MED;indice_infra;rede_propria_poliedro;ja_cliente_poliedro_qualquer_marca;sistema_ensino_identificado;confianca;bairro;distrito;regiao;chave_regiao;granularidade_geo;LATITUDE;LONGITUDE;cep;endereco_completo;renda_mediana_responsavel;renda_categoria;score_priorizacao_cidade;distancia_parceiro_atual_km;nome_parceiro_mais_proximo;enem_media_geral_2024;qtd_participantes_enem_2024;enem_media_2anos;delta_enem_2025_2024;sistema_ensino_top_outros;ja_cliente_poliedro_sim_nao;faixa_rank_cidade;segmento_golden_lead
11013737;COLEGIO ADVENTISTA DE JI-PARANA;1100122;Ji-Paraná;RO;Desafiante (2º-5º local);nenhum;2;3;0,308;566,3433333333334;56,0;210,0;4,0;False;False;Fora do escopo da pesquisa;fora_do_escopo;NOVA BRASÍLIA;Ji-Paraná;;;nao_aplicavel;-10,8899347;-61,9174076;76908494;JOAO BATISTA NETO, 1371 - NOVA BRASÍLIA - CEP 76908-494;2000,0;Média (R$ 1.800-2.999);0,1839;;;583,2825225225224;37,0;573,0825806451613;-16,93918918918905;Fora do escopo da pesquisa;Não;Top 5;
11015896;ESCOLA FAMILIA AGRICOLA ITAPIREMA;1100122;Ji-Paraná;RO;Desafiante (2º-5º local);nenhum;3;3;0,25;533,7891304347826;46,0;211,0;5,0;False;False;Fora do escopo da pesquisa;fora_do_escopo;AREA RURAL DE JI-PARANA;Ji-Paraná;;;nao_aplicavel;-10,8410207;-62,0299164;76914899;LINHA 4 KM9, S/N - AREA RURAL DE JI-PARANA - CEP 76914-899;1800,0;Média (R$ 1.800-2.999);0,1839;;;550,5980952380952;42,0;541,8115909090909;-16,80896480331262;Fora do escopo da pesquisa;Não;Top 5;
11037660;COLEGIO UNIAO;1100122;Ji-Paraná;RO;Líder local;nenhum;1;3;0,394;590,1388888888889;18,0;67,0;1,0;False;False;Fora do escopo da pesquisa;fora_do_escopo;CENTRO;Ji-Paraná;;;nao_aplicavel;-10,8786152;-61,9482849;76900079;RUA ALMIRANTE BARROSO, 1422 - CENTRO - CEP 76900-079;2500,0;Média (R$ 1.800-2.999);0,1839;;;624,664347826087;23,0;609,5068292682927;-34,525458937198096;Fora do escopo da pesquisa;Não;Top 5;
11000058;CENTRO DE ENSINO CLASSE A;1100205;Porto Velho;RO;Desafiante (2º-5º local);Poliedro;2;12;0,752;644,6287222222222;120,0;357,0;4,0;False;True;Poliedro;confirmado;CENTRO;Porto Velho;;;nao_aplicavel;-8,7607343;-63,9019859;76801123;CARLOS GOMES, 1135 - CENTRO - CEP 76801-123;2600,0;Média (R$ 1.800-2.999);0,5531;2,99;COLEGIO CLASSE A;634,094065934066;91,0;640,0853396524487;10,53465628815627;Poliedro;Sim;Top 5;Golden Leads (1.127)
11000198;COLEGIO SAPIENS - UNIDADE JARDIM DAS MANGUEIRAS;1100205;Porto Velho;RO;Outras posições;Polígono;6;12;0,528;589,3038993710692;53,0;197,0;5,0;False;False;Pendente de pesquisa;nao_pesquisado;FLODOALDO PONTES PINTO;Porto Velho;;;nao_aplicavel;-8,7524037;-63,868376;76820514;PAULO FREIRE, 4767 - FLODOALDO PONTES PINTO - CEP 76820-514;3500,0;Média-Alta (R$ 3.000-4.999);0,5531;3,81;CENTRO DE ENSINO CLASSE A;559,3409722222223;48,0;575,064092409241;29,962927148846916;Pendente de pesquisa;Não;Top 10;
11000252;COLEGIO SAPIENS - UNIDADE JARDIM AMERICA;1100205;Porto Velho;RO;Outras posições;Polígono;7;12;0,501;594,9362962962963;45,0;125,0;4,0;False;False;Pendente de pesquisa;nao_pesquisado;SÃO JOÃO BOSCO;Porto Velho;;;nao_aplicavel;-8,7508011;-63,9009256;76803728;EMIL GORAYEB, 3505 - SÃO JOÃO BOSCO - CEP 76803-728;5000,0;Alta (≥ R$ 5.000);0,5531;1,11;CENTRO DE ENSINO CLASSE A;600,6541176470589;17,0;596,5040860215054;-5,71782135076262;Pendente de pesquisa;Não;Top 10;
11000350;COLEGIO ADVENTISTA DE PORTO VELHO;1100205;Porto Velho;RO;Outras posições;Polígono;8;12;0,498;591,2902040816326;49,0;177,0;4,0;False;False;Pendente de pesquisa;nao_pesquisado;NOVA PORTO VELHO;Porto Velho;;;nao_aplicavel;-8,7576788;-63,8747718;76820161;PREFEITO CHIQUILITO ERSE, 2166 - NOVA PORTO VELHO - CEP 76820-161;2400,0;Média (R$ 1.800-2.999);0,5531;3,01;CENTRO DE ENSINO CLASSE A;589,5290666666667;50,0;590,4007407407407;1,7611374149659014;Pendente de pesquisa;Não;Top 10;
11003081;INSTITUTO LAURA VICUNA;1100205;Porto Velho;RO;Outras posições;nenhum;10;12;0,377;567,9369696969696;33,0;104,0;5,0;False;False;Fora do escopo da pesquisa;fora_do_escopo;OLARIA;Porto Velho;;;nao_aplicavel;-8,7555528;-63,9001412;76801252;BENJAMIN CONSTANT, 1531 - OLARIA - CEP 76801-252;5000,0;Alta (≥ R$ 5.000);0,5531;0,61;CENTRO DE ENSINO CLASSE A;586,156875;32,0;576,9067692307692;-18,219905303030373;Fora do escopo da pesquisa;Não;Top 10;
11003090;INSTITUTO MARIA AUXILIADORA;1100205;Porto Velho;RO;Outras posições;nenhum;9;12;0,392;570,5939130434782;23,0;88,0;5,0;False;False;Fora do escopo da pesquisa;fora_do_escopo;CENTRO;Porto Velho;;;nao_aplicavel;-8,7655752;-63,9025366;76801082;IRMA CAPELLI, 41 - CENTRO - CEP 76801-082;2600,0;Média (R$ 1.800-2.999);0,5531;0,54;CENTRO DE ENSINO CLASSE A;563,2725;40,0;565,9453968253968;7,321413043478174;Fora do escopo da pesquisa;Não;Top 10;
11037474;CENTRO DE ENSINO MINEIRO;1100205;Porto Velho;RO;Desafiante (2º-5º local);Polígono;5;12;0,591;617,12;31,0;133,0;3,0;False;False;Pendente de pesquisa;nao_pesquisado;FLODOALDO PONTES PINTO;Porto Velho;;;nao_aplicavel;-8,7451584;-63,8687132;76820594;CALAMA, 5262 - FLODOALDO PONTES PINTO - CEP 76820-594;3500,0;Média-Alta (R$ 3.000-4.999);0,5531;4,05;CENTRO DE ENSINO CLASSE A;571,885641025641;39,0;591,918;45,234358974359;Pendente de pesquisa;Não;Top 5;
