codigo_escola;faixa_rank_cidade;faixa_ordem
11013737;Top 5;1
11015896;Top 5;1
11037660;Top 5;1
11000058;Top 5;1
11037474;Top 5;1
11043857;Top 5;1
11049006;Top 5;1
11049073;Top 5;1
12010936;Top 5;1
12026409;Top 5;1
12028835;Top 5;1
12030058;Top 5;1
12031682;Top 5;1
13079220;Top 5;1
13110314;Top 5;1
13025872;Top 5;1
13031457;Top 5;1
13031767;Top 5;1
13099981;Top 5;1
13168207;Top 5;1
14000792;Top 5;1
14000814;Top 5;1
14001055;Top 5;1
14006740;Top 5;1
14007274;Top 5;1
15066886;Top 5;1
15161366;Top 5;1
15584062;Top 5;1
15587983;Top 5;1
15140463;Top 5;1
15141179;Top 5;1
15176045;Top 5;1
15552900;Top 5;1
15165833;Top 5;1
15167178;Top 5;1
15177017;Top 5;1
15209806;Top 5;1
15565793;Top 5;1
15172600;Top 5;1
15172732;Top 5;1
15175316;Top 5;1
15161625;Top 5;1
15542858;Top 5;1
15038491;Top 5;1
15167275;Top 5;1
15168344;Top 5;1
15181081;Top 5;1
15567672;Top 5;1
15058794;Top 5;1
15169774;Top 5;1
15539830;Top 5;1
15096831;Top 5;1
15180301;Top 5;1
15045455;Top 5;1
15147002;Top 5;1
15174310;Top 5;1
15175529;Top 5;1
15995933;Top 5;1
15152120;Top 5;1
15586413;Top 5;1
15103080;Top 5;1
15172201;Top 5;1
15180654;Top 5;1
15561313;Top 5;1
15577740;Top 5;1
15165809;Top 5;1
15118932;Top 5;1
15118967;Top 5;1
15175448;Top 5;1
15230023;Top 5;1
15168654;Top 5;1
15173135;Top 5;1
15173437;Top 5;1
15223027;Top 5;1
15011070;Top 5;1
15011097;Top 5;1
15171027;Top 5;1
15528715;Top 5;1
15560759;Top 5;1
16002016;Top 5;1
16003128;Top 5;1
16011244;Top 5;1
16011570;Top 5;1
16012100;Top 5;1
16004329;Top 5;1
16004779;Top 5;1
16011694;Top 5;1
17005078;Top 5;1
17055741;Top 5;1
17056152;Top 5;1
17046807;Top 5;1
17055962;Top 5;1
17056446;Top 5;1
17056527;Top 5;1
17057574;Top 5;1
21089981;Top 5;1
21090009;Top 5;1
21226253;Top 5;1
21256667;Top 5;1
21257523;Top 5;1
21180385;Top 5;1
21180415;Top 5;1
21182345;Top 5;1
21232180;Top 5;1
21500002;Top 5;1
21155844;Top 5;1
21156280;Top 5;1
21515662;Top 5;1
21599688;Top 5;1
21249881;Top 5;1
21249911;Top 5;1
21092680;Top 5;1
21092761;Top 5;1
21092842;Top 5;1
21095752;Top 5;1
21272921;Top 5;1
21279721;Top 5;1
21287970;Top 5;1
21265585;Top 5;1
21268894;Top 5;1
21273588;Top 5;1
21281351;Top 5;1
21009902;Top 5;1
21010331;Top 5;1
21199090;Top 5;1
21199809;Top 5;1
21273456;Top 5;1
21162719;Top 5;1
21267073;Top 5;1
21267324;Top 5;1
21498814;Top 5;1
22014543;Top 5;1
22112596;Top 5;1
22135790;Top 5;1
22141472;Top 5;1
22144412;Top 5;1
22022406;Top 5;1
22022481;Top 5;1
22025740;Top 5;1
22144919;Top 5;1
22146636;Top 5;1
23062622;Top 5;1
23063440;Top 5;1
23232390;Top 5;1
23275448;Top 5;1
23062495;Top 5;1
23162902;Top 5;1
23163240;Top 5;1
23163348;Top 5;1
23350628;Top 5;1
23067071;Top 5;1
23071036;Top 5;1
23245573;Top 5;1
23246871;Top 5;1
23272430;Top 5;1
23182016;Top 5;1
23165049;Top 5;1
23165901;Top 5;1
23165952;Top 5;1
23192020;Top 5;1
23276649;Top 5;1
23079843;Top 5;1
23081430;Top 5;1
23081457;Top 5;1
23276320;Top 5;1
23082321;Top 5;1
23082585;Top 5;1
23232234;Top 5;1
23232307;Top 5;1
23024690;Top 5;1
23025255;Top 5;1
23025310;Top 5;1
23025530;Top 5;1
23025646;Top 5;1
24056278;Top 5;1
24083550;Top 5;1
24085081;Top 5;1
24086770;Top 5;1
24281301;Top 5;1
24001260;Top 5;1
24003581;Top 5;1
24003662;Top 5;1
24089150;Top 5;1
24091260;Top 5;1
24057126;Top 5;1
24057134;Top 5;1
24057169;Top 5;1
24069191;Top 5;1
24084263;Top 5;1
25071106;Top 5;1
25073214;Top 5;1
25130676;Top 5;1
25133519;Top 5;1
25134167;Top 5;1
25093061;Top 5;1
25093088;Top 5;1
25097539;Top 5;1
25133861;Top 5;1
25306936;Top 5;1
25020684;Top 5;1
25021885;Top 5;1
25132750;Top 5;1
25164805;Top 5;1
25226800;Top 5;1
25098829;Top 5;1
25098896;Top 5;1
25099540;Top 5;1
25099868;Top 5;1
25118102;Top 5;1
26129680;Top 5;1
26183366;Top 5;1
26186896;Top 5;1
26193230;Top 5;1
26107503;Top 5;1
26163454;Top 5;1
26182076;Top 5;1
26193825;Top 5;1
26234610;Top 5;1
26053837;Top 5;1
26053861;Top 5;1
26179890;Top 5;1
26184834;Top 5;1
26185539;Top 5;1
26075431;Top 5;1
26075440;Top 5;1
26075458;Top 5;1
26075474;Top 5;1
26105810;Top 5;1
26147505;Top 5;1
26108585;Top 5;1
26137950;Top 5;1
26175240;Top 5;1
26193450;Top 5;1
26529807;Top 5;1
26135490;Top 5;1
26137968;Top 5;1
26138611;Top 5;1
26142716;Top 5;1
26162210;Top 5;1
26116499;Top 5;1
26116987;Top 5;1
26117282;Top 5;1
