codigo_escola;segmento_golden_lead;segmento_ordem
11000058;🟡 Golden Leads (1.127);1
11043857;🟡 Golden Leads (1.127);1
11049073;🟡 Golden Leads (1.127);1
12010936;🟡 Golden Leads (1.127);1
12028835;🟡 Golden Leads (1.127);1
12030058;🟡 Golden Leads (1.127);1
12031682;🟡 Golden Leads (1.127);1
13025872;🟡 Golden Leads (1.127);1
13026631;🟡 Golden Leads (1.127);1
13031457;🟡 Golden Leads (1.127);1
13031767;🟡 Golden Leads (1.127);1
13032020;🟡 Golden Leads (1.127);1
13099981;🟡 Golden Leads (1.127);1
13102192;🟡 Golden Leads (1.127);1
13168207;🟡 Golden Leads (1.127);1
13313231;🟡 Golden Leads (1.127);1
14000814;🟡 Golden Leads (1.127);1
15066886;🟡 Golden Leads (1.127);1
15177017;🟡 Golden Leads (1.127);1
15038424;🟡 Golden Leads (1.127);1
15038483;🟡 Golden Leads (1.127);1
15038491;🟡 Golden Leads (1.127);1
15038513;🟡 Golden Leads (1.127);1
15167275;🟡 Golden Leads (1.127);1
15168344;🟡 Golden Leads (1.127);1
15172287;🟡 Golden Leads (1.127);1
15174476;🟡 Golden Leads (1.127);1
15181081;🟡 Golden Leads (1.127);1
15181456;🟡 Golden Leads (1.127);1
15229408;🟡 Golden Leads (1.127);1
15567672;🟡 Golden Leads (1.127);1
15096831;🟡 Golden Leads (1.127);1
15152120;🟡 Golden Leads (1.127);1
15103080;🟡 Golden Leads (1.127);1
15172201;🟡 Golden Leads (1.127);1
15561313;🟡 Golden Leads (1.127);1
15577740;🟡 Golden Leads (1.127);1
15173437;🟡 Golden Leads (1.127);1
15011070;🟡 Golden Leads (1.127);1
15528715;🟡 Golden Leads (1.127);1
16003128;🟡 Golden Leads (1.127);1
17046807;🟡 Golden Leads (1.127);1
17055962;🟡 Golden Leads (1.127);1
17056446;🟡 Golden Leads (1.127);1
17057574;🟡 Golden Leads (1.127);1
21182345;🟡 Golden Leads (1.127);1
21500002;🟡 Golden Leads (1.127);1
21092761;🟡 Golden Leads (1.127);1
21095752;🟡 Golden Leads (1.127);1
21272921;🟡 Golden Leads (1.127);1
21009902;🟡 Golden Leads (1.127);1
21010064;🟡 Golden Leads (1.127);1
21010331;🟡 Golden Leads (1.127);1
21199090;🟡 Golden Leads (1.127);1
21199809;🟡 Golden Leads (1.127);1
21273456;🟡 Golden Leads (1.127);1
21274231;🟡 Golden Leads (1.127);1
21279446;🟡 Golden Leads (1.127);1
21280746;🟡 Golden Leads (1.127);1
21290229;🟡 Golden Leads (1.127);1
21292990;🟡 Golden Leads (1.127);1
21267324;🟡 Golden Leads (1.127);1
22014543;🟡 Golden Leads (1.127);1
22135790;🟡 Golden Leads (1.127);1
22141472;🟡 Golden Leads (1.127);1
