codigo_escola;NO_ENTIDADE;cidade;UF;rank_municipio;n_escolas_confiaveis_municipio;score_destaque;segmento_comercial;endereco_completo
15209806;CENTRO EDUCACIONAL FONTE DO SABER;Ananindeua;PA;2;21;0,657;Desafiante (2º-5º local);TRINTA E DOIS, 15 - MAGUARI - CEP 67145-345
15173330;COLEGIO LA SALLE ANANIDEUA;Ananindeua;PA;7;21;0,466;Outras posições;GOVERNADOR HELIO DA MOTA GUEIROS, 49 - COQUEIRO - CEP 67120-370
15164543;SISTEMA EDUCACIONAL CRISTAO SEMEAR;Ananindeua;PA;9;21;0,406;Outras posições;CARLOS ANO BOM, 565 - AGUAS BRANCAS - CEP 67033-660
15096009;SISTEMA INTEGRADO DE ENSINO LIMA PINHEIRO;Ananindeua;PA;10;21;0,392;Outras posições;EVANGELICA, 47 - COQUEIRO - CEP 67113-540
52099490;COLEGIO LIDER;Aparecida de Goiânia;GO;2;15;0,692;Desafiante (2º-5º local);JOSE ADVINCULA DA CUNHA - SETOR DOS AFONSOS - CEP 74915-330
52031772;COLEGIO SUL D AMERICA LTDA;Aparecida de Goiânia;GO;7;15;0,438;Outras posições;ZOROASTRO ARTIAGA - JARDIM NOVA ERA - CEP 74916-180
52079872;COLEGIO FUNDACAO BRADESCO;Aparecida de Goiânia;GO;8;15;0,378;Outras posições;J 2 - PAPILLON PARK - CEP 74950-170
52096807;COLEGIO VERITAS II;Aparecida de Goiânia;GO;9;15;0,354;Outras posições;SALDANHA MARINHO, S/N - VILA CRUZEIRO DO SUL - CEP 74917-270
52031799;COLEGIO DE APLICACAO ALFREDO NASSER;Aparecida de Goiânia;GO;10;15;0,34;Outras posições;BELA VISTA, 26 - JARDIM DAS ESMERALDAS - CEP 74905-020
27215083;ESCOLA DE ENSINO FUNDAMENTAL SANTA CLARA DE ASSIS;Arapiraca;AL;4;15;0,589;Desafiante (2º-5º local);JOSE ALEXANDRE DE ALBUQUERQUE, 385 - BAIXÃO - CEP 57305-400
27258009;COLEGIO MULTIVISAO;Arapiraca;AL;5;15;0,576;Desafiante (2º-5º local);SAO JOAO, 680 - CAITITUS - CEP 57311-225
27016439;COLEGIO NOSSA SENHORA ROSA MISTICA;Arapiraca;AL;8;15;0,369;Outras posições;ESTUDANTE JOSE DE OLIVEIRA LEITE, 207 - CENTRO - CEP 57300-310
27255018;COLEGIO SAGRADA FAMILIA;Arapiraca;AL;9;15;0,362;Outras posições;DOM PEDRO II, 341 - OURO PRETO - CEP 57301-150
27056589;COLEGIO ALFA ENSINO FUNDAMENTAL E ENSINO MEDIO LTDA;Arapiraca;AL;10;15;0,326;Outras posições;JOSE CAVALCANTE BEZERRA DE BARROS, 103 - NOVO HORIZONTE - CEP 57312-540
35160453;BALAO AZUL DINAMICO ESCOLA EDUCACAO INF E ENS FUNDAMENTAL;Bauru;SP;9;18;0,494;Outras posições;BERNARDINO DE CAMPOS, 881 - VILA SOUTO - CEP 17051-000
25071068;COLEGIO DJANIRA TAVARES;Campina Grande;PB;10;19;0,65;Outras posições;DOUTOR JOAO CARIRI, 160 - CRUZEIRO - CEP 58415-600
50007874;CENTRO DE ENS NOSSA SENHORA AUXILIADORA;Campo Grande;MS;10;29;0,697;Outras posições;PEDRO CELESTINO, 1980 - CENTRO - CEP 79002-371
33106754;COLEGIO PROFESSOR CLOVIS TAVARES PRO-UNI;Campos dos Goytacazes;RJ;5;16;0,698;Desafiante (2º-5º local);RUA  RIACHUELO, 470 - PARQUE TURF CLUB - CEP 28013-450
33008523;COL JOAO PAULO II;Campos dos Goytacazes;RJ;7;16;0,589;Outras posições;VISCONDE DE ITABORAI, 524 - PARQUE ROSÁRIO - CEP 28026-149
33008612;COLEGIO ADVENTISTA DE CAMPOS;Campos dos Goytacazes;RJ;9;16;0,518;Outras posições;DOUTOR BEDA, 112 - PARQUE ROSÁRIO - CEP 28027-818
31277177;INST PEDAG CRESCER;Contagem;MG;5;15;0,621;Desafiante (2º-5º local);CORONEL BENJAMIM GUIMARAES, 1285 - INDUSTRIAL - CEP 32230-000
31376310;COLEGIO NIEDE GUIDON;Contagem;MG;6;15;0,551;Outras posições;RUA PAPA PAULO VI, 39 - INCONFIDENTES - CEP 32260-370
31279099;COLEGIO PAULO FREIRE;Contagem;MG;7;15;0,525;Outras posições;ANTONIO ALEIXO, 761 - NOVO PROGRESSO - CEP 32115-100
31277185;NUCLEO EDUC BRAZ NETTO;Contagem;MG;8;15;0,486;Outras posições;CORONEL BENJAMIM GUIMARAES, 901 - INDUSTRIAL - CEP 32235-000
31279102;COLEGIO SAO GERALDO;Contagem;MG;9;15;0,464;Outras posições;POLARES, 58 - JARDIM RIACHO DAS PEDRAS - CEP 32241-190
31236926;COLEGIO ESPIRITA PROFESSOR RUBENS COSTA ROMANELLI;Contagem;MG;10;15;0,444;Outras posições;DAS AMERICAS, 707 - KENNEDY - CEP 32145-000
35159177;SIDARTA COLEGIO;Cotia;SP;3;16;0,616;Desafiante (2º-5º local);FERNANDO NOBRE, 1332 - PARQUE RINCAO - CEP 06705-490
35568173;VIA SAPIENS EDUCACAO INTEGRADA;Cotia;SP;4;16;0,603;Desafiante (2º-5º local);ANESIA CARDOSO DE CARVALHO, 24 - GRANJA VIANA II - CEP 06707-035
35131490;MADRE IVA COLEGIO;Cotia;SP;9;16;0,414;Outras posições;NELSON RAINERI, 700 - RECANTO VISTA ALEGRE - CEP 06702-155
51039010;CEMA - CENTRO EDUCACIONAL MARIA AUXILIADORA;Cuiabá;MT;8;25;0,674;Outras posições;DOM AQUINO, 449 - DOM AQUINO - CEP 78015-200
51064529;COLEGIO VILA REAL LTDA - ME;Cuiabá;MT;10;25;0,641;Outras posições;ROD. ARQ. HELDER CANDIA,  BLOCO B, 101 - JARDIM UBIRAJARA - CEP 78049-508
33101469;JD ESC MARIA FUMACA LTDA CENTRO EDUC RENASCER;Duque de Caxias;RJ;3;21;0,567;Desafiante (2º-5º local);PARANA - VILA SANTA CRUZ - CEP 25240-260
33194270;ISEM INSTITUTO SILOE DE ENSINO MODERNO;Duque de Caxias;RJ;5;21;0,507;Desafiante (2º-5º local);GOVERNADOR LEONEL DE MOURA BRIZOLA, 1511 - CENTRO - CEP 25010-009
33049416;ESC VENANCIO PEREIRA VELLOSO;Duque de Caxias;RJ;7;21;0,38;Outras posições;NILO PECANHA, 2716 - PARQUE LAFAIETE - CEP 25025-000
33185433;COLEGIO FORCA MAXIMA DE DUQUE DE CAXIAS LTDA;Duque de Caxias;RJ;8;21;0,319;Outras posições;BRIGADEIRO LIMA E SILVA, 1630 - JARDIM VINTE E CINCO DE AGOSTO - CEP 25071-182
33110549;AMETISTA EMPREENDIMENTOS EDUCACIONAIS LTDA - COLEGIO CRISTAO OLIVEIRA ARAUJO;Duque de Caxias;RJ;9;21;0,315;Outras posições;XEREM, 101 - PARQUE XERÉM - CEP 25241-390
33048185;COLEGIO E CURSO MATRIZ EDUCACAO;Duque de Caxias;RJ;10;21;0,302;Outras posições;MARCILIO DIAS, 113 - JARDIM VINTE E CINCO DE AGOSTO - CEP 25075-200
