CO_MUNICIPIO,NO_ENTIDADE,CO_ENTIDADE,TP_DEPENDENCIA,TP_CATEGORIA_ESCOLA_PRIVADA,TP_SITUACAO_FUNCIONAMENTO,IN_MANT_ESCOLA_PRIVADA_EMP,IN_MANT_ESCOLA_PRIVADA_ONG,IN_MANT_ESCOLA_PRIVADA_SIND,IN_MANT_ESCOLA_PRIVADA_SIST_S,IN_MANT_ESCOLA_PRIVADA_S_FINS,IN_AUDITORIO,IN_BIBLIOTECA,IN_BIBLIOTECA_SALA_LEITURA,IN_LABORATORIO_CIENCIAS,IN_LABORATORIO_INFORMATICA,IN_QUADRA_ESPORTES,IN_QUADRA_ESPORTES_COBERTA,IN_SALA_ATENDIMENTO_ESPECIAL,IN_ACESSIBILIDADE_RAMPAS,QT_SALAS_UTILIZADAS,IN_INTERNET,IN_EXAME_SELECAO,QT_TUR_INF,QT_TUR_FUND_AI,QT_TUR_FUND_AF,QT_TUR_MED,QT_TUR_PROF,QT_TUR_EJA,QT_MAT_BAS,QT_MAT_MED,mat_por_sala,codigo_municipio,codigo_escola,qtd_participantes_enem,enem_media_geral,indice_infra,indice_inclusao,confiavel_enem,percentil_enem,percentil_infra,percentil_inclusao,percentil_seletividade,score_destaque
1100122,COLEGIO ADVENTISTA DE JI-PARANA,11013737,4,4.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,21.0,1.0,0.0,6.0,10.0,11.0,6.0,0.0,0.0,794.0,210.0,10.0,1100122,11013737,56.0,566.3433333333334,4.0,0.0,True,0.2588185295367616,0.5939226519337016,0.1090097747556311,0.3822779430514237,0.3078
1100122,ESCOLA FAMILIA AGRICOLA ITAPIREMA,11015896,4,2.0,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,211.0,211.0,70.33333333333333,1100122,11015896,46.0,533.7891304347826,5.0,1.0,True,0.06821079473013175,0.8642158946026349,0.4978750531236719,0.8811092222694432,0.2497
1100122,COLEGIO UNIAO,11037660,4,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,18.0,1.0,0.0,8.0,10.0,7.0,3.0,0.0,0.0,394.0,67.0,3.7222222222222223,1100122,11037660,18.0,590.1388888888889,1.0,1.0,True,0.4530386740331492,0.06629834254143646,0.4978750531236719,0.3822779430514237,0.3937
1100122,COLEGIO EDUCAR,11049294,4,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,17.0,1.0,0.0,3.0,11.0,8.0,2.0,1.0,0.0,282.0,19.0,1.1176470588235294,1100122,11049294,,,4.0,1.0,False,,,,,
1100122,CLARETIANO COLEGIO JI-PARANA,11051000,4,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,16.0,1.0,0.0,4.0,6.0,4.0,2.0,0.0,0.0,314.0,31.0,1.9375,1100122,11051000,,,5.0,1.0,False,,,,,
1100205,CENTRO DE ENSINO CLASSE A,11000058,4,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,37.0,1.0,0.0,3.0,11.0,12.0,9.0,4.0,0.0,1081.0,357.0,9.64864864864865,1100205,11000058,120.0,644.6287222222222,4.0,1.0,True,0.8253293667658309,0.5939226519337016,0.4978750531236719,0.3822779430514237,0.7521
1100205,COLEGIO SAPIENS - UNIDADE JARDIM DAS MANGUEIRAS,11000198,4,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.0,1.0,0.0,11.0,15.0,13.0,6.0,0.0,0.0,978.0,197.0,5.628571428571429,1100205,11000198,53.0,589.3038993710692,5.0,2.0,True,0.44581385465363366,0.8642158946026349,0.8889715257118572,0.3822779430514237,0.5276
1100205,COLEGIO SAPIENS - UNIDADE JARDIM AMERICA,11000252,4,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,27.0,1.0,0.0,10.0,16.0,10.0,5.0,0.0,0.0,694.0,125.0,4.62962962962963,1100205,11000252,45.0,594.9362962962963,4.0,1.0,True,0.4908627284317892,0.5939226519337016,0.4978750531236719,0.3822779430514237,0.5012
1100205,COLEGIO ADVENTISTA DE PORTO VELHO,11000350,4,4.0,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,25.0,1.0,0.0,6.0,16.0,14.0,8.0,6.0,0.0,978.0,177.0,7.08,1100205,11000350,49.0,591.2902040816326,4.0,2.0,True,0.4606884827879303,0.5939226519337016,0.8889715257118572,0.3822779430514237,0.4982
1100205,CENTRO EDUCACIONAL DR GILBERTO MENDES DE AZEVEDO,11000880,4,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,31.0,1.0,1.0,4.0,16.0,17.0,8.0,3.0,1.0,1265.0,310.0,10.0,1100205,11000880,83.0,579.4178313253012,5.0,1.0,True,0.3691032724181895,0.8642158946026349,0.4978750531236719,0.8811092222694432,0.4754
