codigo_municipio,nome_municipio_ibge,uf,chave_nome_uf
1100015,Alta Floresta D'Oeste,RO,Alta Floresta D'Oeste (RO)
1100023,Ariquemes,RO,Ariquemes (RO)
1100031,Cabixi,RO,Cabixi (RO)
1100049,Cacoal,RO,Cacoal (RO)
1100056,Cerejeiras,RO,Cerejeiras (RO)
1100064,Colorado do Oeste,RO,Colorado do Oeste (RO)
1100072,Corumbiara,RO,Corumbiara (RO)
1100080,Costa Marques,RO,Costa Marques (RO)
1100098,Espigão D'Oeste,RO,Espigão D'Oeste (RO)
1100106,Guajará-Mirim,RO,Guajará-Mirim (RO)
1100114,Jaru,RO,Jaru (RO)
1100122,Ji-Paraná,RO,Ji-Paraná (RO)
1100130,Machadinho D'Oeste,RO,Machadinho D'Oeste (RO)
1100148,Nova Brasilândia D'Oeste,RO,Nova Brasilândia D'Oeste (RO)
1100155,Ouro Preto do Oeste,RO,Ouro Preto do Oeste (RO)
1100189,Pimenta Bueno,RO,Pimenta Bueno (RO)
1100205,Porto Velho,RO,Porto Velho (RO)
1100254,Presidente Médici,RO,Presidente Médici (RO)
1100262,Rio Crespo,RO,Rio Crespo (RO)
1100288,Rolim de Moura,RO,Rolim de Moura (RO)
1100296,Santa Luzia D'Oeste,RO,Santa Luzia D'Oeste (RO)
1100304,Vilhena,RO,Vilhena (RO)
1100320,São Miguel do Guaporé,RO,São Miguel do Guaporé (RO)
1100338,Nova Mamoré,RO,Nova Mamoré (RO)
1100346,Alvorada D'Oeste,RO,Alvorada D'Oeste (RO)
1100379,Alto Alegre dos Parecis,RO,Alto Alegre dos Parecis (RO)
1100403,Alto Paraíso,RO,Alto Paraíso (RO)
1100452,Buritis,RO,Buritis (RO)
1100502,Novo Horizonte do Oeste,RO,Novo Horizonte do Oeste (RO)
1100601,Cacaulândia,RO,Cacaulândia (RO)
1100700,Campo Novo de Rondônia,RO,Campo Novo de Rondônia (RO)
1100809,Candeias do Jamari,RO,Candeias do Jamari (RO)
1100908,Castanheiras,RO,Castanheiras (RO)
1100924,Chupinguaia,RO,Chupinguaia (RO)
1100940,Cujubim,RO,Cujubim (RO)
1101005,Governador Jorge Teixeira,RO,Governador Jorge Teixeira (RO)
1101104,Itapuã do Oeste,RO,Itapuã do Oeste (RO)
1101203,Ministro Andreazza,RO,Ministro Andreazza (RO)
1101302,Mirante da Serra,RO,Mirante da Serra (RO)
1101401,Monte Negro,RO,Monte Negro (RO)
1101435,Nova União,RO,Nova União (RO)
1101450,Parecis,RO,Parecis (RO)
1101468,Pimenteiras do Oeste,RO,Pimenteiras do Oeste (RO)
