codigo_escola,enem_media_geral_2024,qtd_participantes_enem_2024
23246847,789.9253333333332,30
23246880,762.2160869565217,46
50031163,761.805,16
23235543,760.0921212121212,33
23272333,759.6722580645161,31
33184739,759.6247058823529,17
31351725,759.2913043478261,23
23246871,755.0852941176471,34
22144714,749.7415384615384,13
31004812,749.4875000000001,184
15167275,746.2757575757577,33
35399197,746.1483720930232,43
60026271,745.1100000000001,2
24097004,743.967619047619,42
35563006,743.8776190476191,42
31349720,743.3652830188679,53
22025740,740.1926177024483,177
23245573,738.9097297297297,37
33040516,736.2590909090909,22
33165920,736.118,30
31350664,736.0356475583864,314
35126974,735.8112195121951,41
33135827,734.820487804878,41
53013085,734.7028409090909,176
22027173,733.2866666666667,12
33062633,732.6521212121212,66
60012356,732.0500000000001,2
50032895,731.12,18
33149780,731.0100000000001,12
22164219,730.8371428571429,21
23564121,728.9706666666666,30
26534711,728.9612612612613,111
60019558,728.9000000000001,2
53056000,728.78875,64
50032100,728.7792857142857,28
31004031,728.1967567567567,74
35141240,727.5901492537314,67
29485541,726.237957957958,111
26189569,724.8477272727273,88
33188092,724.4761904761905,21
35009757,724.31875,16
52068986,723.8153303964757,227
35286187,723.4551815181518,101
22022406,723.0889795918367,49
23272430,722.8284219001611,207
43166407,722.2381818181818,11
60014420,722.1,3
50035380,722.0788235294118,17
31317101,719.5819047619048,42
35463279,719.4730841121495,107
53015789,718.57375,64
22129529,718.5557575757575,33
43173330,718.3538596491228,38
32040032,717.4524137931035,58
33065403,717.058954248366,153
33057206,717.0218421052632,76
26137631,716.8095364238411,151
35583224,716.103076923077,13
60029380,715.6542857142857,7
23076208,715.2058823529412,17
43082564,714.7,49
22022481,712.3023529411764,102
35165347,711.5446554934823,179
26118165,711.516923076923,65
31004651,711.3602721088436,294
22143700,710.615238095238,21
33062609,710.2174418604651,86
31371971,710.0028571428571,49
25097539,709.8766153846154,65
26181231,709.1364102564103,39
33145237,708.7711999999999,25
35805555,708.2820309050772,151
35154775,708.2148837209302,43
35290804,707.1502515723271,53
31004731,707.0870491803279,122
43238203,706.9758823529412,34
35134806,706.852471416007,379
33176825,706.8174857142857,175
33104220,706.4522222222222,78
32041152,706.4353846153847,65
24088846,705.4633962264151,53
33135371,705.0477235772357,82
31333921,704.9586956521739,92
33055866,704.9269565217392,23
33196214,703.8265671641791,67
52103137,703.5377570093458,321
32083882,703.5182222222222,60
26187353,703.1658181818183,55
28032322,702.7736492890995,211
22023658,702.1493333333333,15
35173186,702.0760493827161,162
43173845,701.955,16
31006394,701.7916374269006,114
25120298,701.7106249999999,224
29342880,701.5205128205127,39
31193216,701.3985454545455,110
35103421,701.3345833333333,112
31248401,700.7011111111111,18
52096785,700.5526495726496,39
35143406,700.3965217391304,23
31118311,700.2131428571429,35
35124199,699.9289570552147,163
60015754,699.5200000000001,2
32040210,699.1266666666667,15
60005239,698.9399999999999,1
60014462,698.8,9
35136931,698.7048795944233,263
33165998,698.5838461538461,52
33195340,698.422,20
17056446,698.1883544303797,79
31249483,698.1866666666667,9
35140193,698.1446153846155,26
31184331,698.0269230769231,26
33063311,697.9587301587302,63
15567672,697.6017543859649,38
52020517,697.4066666666666,30
33156913,697.0522222222222,18
43216471,696.9963636363636,11
60013394,696.86,6
31327026,696.6384615384616,39
52105962,696.3923076923077,13
32038178,696.3131764705882,85
22025715,696.2330952380953,84
35141392,695.4833333333333,18
33184720,695.2399999999999,22
35287600,695.1314285714286,28
53012860,695.0600000000001,111
35468400,694.8172,25
35561320,694.8169230769231,39
33180385,694.7735,160
31354910,694.690625,128
35136050,694.6760240963855,83
60013028,694.588888888889,9
33085846,694.2647619047618,42
33063729,694.2442261904762,224
35579403,694.1046153846154,65
60012323,693.995,8
25133519,693.8895424836602,153
35140338,693.8436764705883,68
35104985,693.7966069906223,391
41148142,693.5263157894736,19
35430808,693.4887037037038,36
25306936,693.3764705882353,17
43123988,693.2560784313725,68
31293687,693.2289285714286,56
31004359,692.7891428571428,70
29437261,692.7815384615385,65
35150022,692.73,16
33149550,692.5366666666667,24
31342998,692.5321904761905,35
33075425,692.1343295019158,87
42141036,692.1277777777779,54
52101363,691.4806896551725,174
52094502,691.4137142857143,35
26163039,691.2591566265061,166
31205265,690.8181481481482,72
42160383,690.8092857142857,56
28037812,690.7905263157895,19
33057109,690.7047281323877,141
31006238,690.6842512077295,138
52033848,690.4275,72
33105405,690.4235416666667,96
31014061,690.3854545454545,66
42118239,690.3111111111111,18
31320536,690.294623655914,31
60018913,690.1999999999999,3
31041181,690.1392156862745,51
35132007,690.0931818181817,44
35154295,690.049756097561,82
21009902,690.0045502645503,63
32036671,689.978,30
33077029,689.9206060606061,33
29328560,689.4594444444444,36
41352866,689.3459259259259,54
31074373,689.3022222222222,135
31342327,689.2778125,64
35007592,689.0217857142858,56
35175572,688.836564102564,260
35449003,688.7832863849766,142
29436168,688.7561904761906,21
31377040,688.66625,16
35132287,688.6278688524591,244
31339989,688.6234482758621,29
43139108,688.5962499999999,80
35140995,688.59,14
33139881,688.4082352941176,51
33160830,688.4057777777778,30
29480620,688.3075,16
24057134,688.2867175572519,131
33140502,687.9608333333334,24
31364517,687.8048275862069,29
33063656,687.6759999999999,15
22056955,687.5470588235294,17
31006157,687.4409523809524,42
21290229,687.4314545454546,110
31193097,687.4296103896104,77
60014277,687.24,2
29422272,687.1012244897959,49
33196249,687.006,65
52059383,686.8722222222221,18
60019418,686.76,1
29222982,686.6573333333333,15
53013875,686.6314285714286,14
35142967,686.4663959390863,197
33148376,686.361851851852,72
33104247,686.3458064516129,31
35158483,686.3304545454546,44
60006447,686.316,5
33189838,686.3123076923076,26
31205231,686.2898412698413,63
33085897,686.2513513513513,37
35802578,686.2124324324325,37
43155197,685.9007142857143,28
24069191,685.8810298102982,123
33198640,685.8173333333333,15
35137881,685.7906451612904,31
35112513,685.7615094339623,53
33116903,685.64,47
52097676,685.4803111111111,150
51036169,685.415,16
35104620,685.3523263888889,192
35139178,685.2753333333333,70
31005037,685.2441991341991,154
32040040,685.156388888889,24
35009870,685.0583333333333,36
31193038,685.0196923076923,65
60016124,684.7885714285715,7
33100713,684.6236842105263,38
35140065,684.565625,32
31312177,684.4563636363637,33
31379719,684.4,25
35195005,684.2817543859649,57
25073214,684.1567346938775,98
35139208,684.0826666666667,15
33078866,684.0559999999999,35
13032020,684.0430303030303,33
32071957,684.02,9
31322903,683.8903999999999,25
13025872,683.8287619047619,105
28037723,683.7678571428571,28
33178879,683.732,20
53016726,683.704644549763,211
31196312,683.6916666666666,24
60023502,683.62,1
43213278,683.5566666666667,18
41150392,683.4747368421052,19
31007196,683.3598571428572,140
35103524,683.3197129186603,209
31384909,683.3187368421053,95
35170331,683.3069230769231,26
35117547,683.2014035087719,57
23071036,683.0996078431373,119
24084263,683.0122222222221,18
33183830,683.0058666666667,50
42048192,682.99375,16
35125436,682.9852830188679,53
50007718,682.9586666666667,15
60019553,682.9449999999999,8
31309770,682.8914285714285,21
29182344,682.8291954022989,87
60019559,682.78,1
33110328,682.7358227848101,158
33173990,682.5901204819278,83
43215688,682.5745945945946,37
26122081,682.5244444444445,162
35112562,682.4862172284644,89
31184349,682.205925925926,54
29200091,682.1973584905661,318
33064040,682.143,20
29477271,681.8895652173912,69
35140582,681.886,10
29182409,681.8613793103448,58
23334266,681.8414932126697,221
29487250,681.8295582329317,83
31254363,681.6685057471263,58
35004369,681.4313888888888,72
32081073,681.3637037037037,27
32041411,681.3609845288327,237
60011755,681.324,5
33063419,681.3169523809523,105
35135288,681.2227397260274,73
43126561,681.2009302325581,43
33027404,681.1794736842105,38
13102192,681.1686956521738,23
33196788,680.8376470588236,17
43119930,680.7693452380953,112
31105899,680.664,40
35139497,680.5751412429379,59
31378496,680.5333333333333,33
21199809,680.5194047619049,112
15172201,680.5021739130434,46
33064369,680.3108,50
33100705,680.124761904762,21
33439818,680.0924137931034,29
35155664,680.0271794871795,39
52091384,679.8742857142857,28
43172423,679.8199999999999,55
42159547,679.7492592592592,54
29530210,679.6240963855422,166
35158689,679.6176923076923,52
31102415,679.6020000000001,30
53001222,679.4595379537953,101
43216684,679.2973333333333,15
23067071,679.2574358974359,78
60020799,679.1,2
41390024,679.0696969696969,66
35499778,679.0673684210527,38
42098289,679.0482352941176,17
60012205,678.9755555555555,9
43164447,678.8607407407408,27
35004269,678.8515268817204,155
33182108,678.8383870967742,62
24089214,678.7435443037974,79
35125441,678.6616216216216,37
31004871,678.5992,25
12031682,678.5958333333333,24
31294900,678.563,20
31196134,678.4862857142857,35
60009977,678.3666666666667,3
31230669,678.28,14
22080325,678.2745454545455,11
35130175,678.2129166666666,16
31254673,678.0428571428572,14
35107190,678.0286021505377,93
31260908,677.9444444444445,18
