CO_MUNICIPIO,NO_ENTIDADE,CO_ENTIDADE,TP_DEPENDENCIA,TP_CATEGORIA_ESCOLA_PRIVADA,TP_SITUACAO_FUNCIONAMENTO,IN_MANT_ESCOLA_PRIVADA_EMP,IN_MANT_ESCOLA_PRIVADA_ONG,IN_MANT_ESCOLA_PRIVADA_SIND,IN_MANT_ESCOLA_PRIVADA_SIST_S,IN_MANT_ESCOLA_PRIVADA_S_FINS,IN_AUDITORIO,IN_BIBLIOTECA,IN_BIBLIOTECA_SALA_LEITURA,IN_LABORATORIO_CIENCIAS,IN_LABORATORIO_INFORMATICA,IN_QUADRA_ESPORTES,IN_QUADRA_ESPORTES_COBERTA,IN_SALA_ATENDIMENTO_ESPECIAL,IN_ACESSIBILIDADE_RAMPAS,QT_SALAS_UTILIZADAS,IN_INTERNET,IN_EXAME_SELECAO,QT_TUR_INF,QT_TUR_FUND_AI,QT_TUR_FUND_AF,QT_TUR_MED,QT_TUR_PROF,QT_TUR_EJA,QT_MAT_BAS,QT_MAT_MED,mat_por_sala,codigo_municipio,NO_DISTRITO,DS_ENDERECO,NU_ENDERECO,NO_BAIRRO,CO_CEP,LATITUDE,LONGITUDE,NU_CNPJ_MANTENEDORA
1100023,COLEGIO DINAMICO EDUCACAO BASICA,11007656,4,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,23.0,1.0,0.0,6.0,8.0,5.0,4.0,0.0,0.0,509.0,129.0,5.608695652173913,1100023,Ariquemes,FORTALEZA,2237,SETOR 03,76870505,-9.9110905,-63.0358343,34470559000105.0
1100023,COLEGIO EXCELENCIA,11049910,4,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,15.0,1.0,0.0,10.0,9.0,4.0,2.0,1.0,0.0,330.0,22.0,1.4666666666666666,1100023,Ariquemes,DAS ORQUIDEAS,2720,SETOR 04,76873524,-9.9068763,-63.0296813,5919287000414.0
1100023,COLEGIO CRISTAO DE ARIQUEMES,11050950,4,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.0,1.0,0.0,8.0,9.0,6.0,4.0,0.0,0.0,340.0,84.0,5.25,1100023,Ariquemes,AVENIDA JUSCELINO KUBITSCHEK,3349,SETOR INSTITUCIONAL,76872847,-9.901016713,-63.03225501,40046828000103.0
1100049,CENTRO EDUCACIONAL MEMORINA ROSA CAMPOS,11025670,4,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,15.0,1.0,1.0,0.0,6.0,5.0,4.0,2.0,0.0,405.0,121.0,8.066666666666666,1100049,Cacoal,JOSE DO PATROCINIO,4352,ELDORADO,76966225,-11.4377961,-61.4264237,3780605000211.0
1100049,ESCOLA DANIEL BERG,11026324,4,3.0,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.0,1.0,0.0,10.0,17.0,12.0,8.0,5.0,0.0,1223.0,207.0,6.67741935483871,1100049,Cacoal,SAO PAULO,3070,CENTRO,76963822,-11.4325173,-61.449046,5671573000160.0
1100049,ESCOLA DE EDUCACAO BASICA E PROFISSIONAL ANTONIO SANCHEZ DE LARRAGOITI Y CURDUMI,11027290,4,4.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,1.0,1.0,2.0,10.0,8.0,6.0,2.0,0.0,920.0,236.0,18.153846153846157,1100049,Cacoal,OURO,160,BALNEARIO ARCO-IRIS,76961890,-11.4320983,-61.46435,60701521000106.0
1100049,ESCOLA FAMILIA AGRICOLA PADRE EZEQUIEL RAMIN DE CACOAL,11027355,4,2.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,2.0,4.0,8.0,0.0,230.0,105.0,17.5,1100049,Cacoal,RURAL,S/N,AREA RURAL DE CACOAL,76968899,-11.4667485,-61.3331852,2425913000185.0
1100049,INSTITUTO EDUCACIONAL SOMA - IES,11049723,4,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,16.0,1.0,0.0,4.0,5.0,4.0,3.0,0.0,0.0,303.0,63.0,3.9375,1100049,Cacoal,BELO HORIZONTE,3196,JARDIM CLODOALDO,76963678,-11.4272939,-61.4541895,15336255000105.0
1100049,COOPERATIVA EDUCACIONAL DE CACOAL,11050373,4,1.0,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,23.0,1.0,0.0,1.0,8.0,4.0,3.0,0.0,0.0,324.0,59.0,2.565217391304348,1100049,Cacoal,SAO PAULO,2666,CENTRO,76963802,-11.435967,-61.4489704,29204200000148.0
1100056,ESCOLA DE EDUCACAO INFANTIL ENSINO FUNDAMENTAL E MEDIO DIMENSAO,11037075,4,1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,14.0,1.0,0.0,2.0,6.0,4.0,2.0,0.0,0.0,131.0,11.0,0.7857142857142857,1100056,Cerejeiras,AVENIDA DAS NACOES,3327,,76997000,-13.1887964,-60.8077517,5759244000176.0
1100056,ESCOLA FAMILIA AGRICOLA MANOEL RIBEIRO,11050934,4,4.0,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,38.0,38.0,12.666666666666666,1100056,Cerejeiras,"LINHA 4 EIXO, LOTE 08, GLEBA 21, ESQUINA COM LINHA 2.",S/N,,76997000,-13.15576389,-60.94992236,18794865000132.0
1100098,ESCOLA MONTEIRO LOBATO,11038578,4,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,1.0,0.0,3.0,5.0,4.0,3.0,0.0,0.0,343.0,87.0,6.6923076923076925,1100098,Espigão D'Oeste,RUA ACRE,2212,,76974000,-11.5320433,-61.0214,2489605000113.0
1100106,ESCOLA TOUFIA TANOUS BOUCHABKI,11006595,4,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,0.0,3.0,5.0,4.0,2.0,0.0,0.0,131.0,18.0,1.8,1100106,Guajará-Mirim,AV.DR.MENDONCA LIMA,1498,,76850000,-10.7824229,-65.3368269,4291233000141.0
