CO_MUNICIPIO,NO_ENTIDADE,CO_ENTIDADE,TP_DEPENDENCIA,TP_CATEGORIA_ESCOLA_PRIVADA,TP_SITUACAO_FUNCIONAMENTO,IN_AUDITORIO,IN_BIBLIOTECA,IN_BIBLIOTECA_SALA_LEITURA,IN_LABORATORIO_CIENCIAS,IN_LABORATORIO_INFORMATICA,IN_QUADRA_ESPORTES,IN_QUADRA_ESPORTES_COBERTA,QT_SALAS_UTILIZADAS,IN_INTERNET,QT_TUR_INF,QT_TUR_FUND_AI,QT_TUR_FUND_AF,QT_TUR_MED,QT_TUR_PROF,QT_TUR_EJA,QT_MAT_BAS,QT_MAT_MED,mat_por_sala,codigo_municipio
1100023,COLEGIO DINAMICO EDUCACAO BASICA,11007656,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.0,1.0,6.0,8.0,5.0,4.0,0.0,0.0,509.0,129.0,5.608695652173913,1100023
1100023,COLEGIO EXCELENCIA,11049910,4,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,15.0,1.0,10.0,9.0,4.0,2.0,1.0,0.0,330.0,22.0,1.4666666666666666,1100023
1100023,COLEGIO CRISTAO DE ARIQUEMES,11050950,4,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,16.0,1.0,8.0,9.0,6.0,4.0,0.0,0.0,340.0,84.0,5.25,1100023
1100049,CENTRO EDUCACIONAL MEMORINA ROSA CAMPOS,11025670,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,0.0,6.0,5.0,4.0,2.0,0.0,405.0,121.0,8.066666666666666,1100049
1100049,ESCOLA DANIEL BERG,11026324,4,3.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.0,1.0,10.0,17.0,12.0,8.0,5.0,0.0,1223.0,207.0,6.67741935483871,1100049
1100049,ESCOLA FAMILIA AGRICOLA PADRE EZEQUIEL RAMIN DE CACOAL,11027355,4,2.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,0.0,0.0,2.0,4.0,8.0,0.0,230.0,105.0,17.5,1100049
1100049,INSTITUTO EDUCACIONAL SOMA - IES,11049723,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,4.0,5.0,4.0,3.0,0.0,0.0,303.0,63.0,3.9375,1100049
1100049,COOPERATIVA EDUCACIONAL DE CACOAL,11050373,4,1.0,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,23.0,1.0,1.0,8.0,4.0,3.0,0.0,0.0,324.0,59.0,2.5652173913043477,1100049
1100056,ESCOLA DE EDUCACAO INFANTIL ENSINO FUNDAMENTAL E MEDIO DIMENSAO,11037075,4,1.0,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,14.0,1.0,2.0,6.0,4.0,2.0,0.0,0.0,131.0,11.0,0.7857142857142857,1100056
1100098,ESCOLA MONTEIRO LOBATO,11038578,4,1.0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,1.0,3.0,5.0,4.0,3.0,0.0,0.0,343.0,87.0,6.6923076923076925,1100098
1100106,ESCOLA TOUFIA TANOUS BOUCHABKI,11006595,4,1.0,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,10.0,1.0,3.0,5.0,4.0,2.0,0.0,0.0,131.0,18.0,1.8,1100106
1100114,COOPERATIVA DE PROFISSIONAIS EM EDUCACAO,11040076,4,1.0,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,15.0,1.0,3.0,5.0,4.0,3.0,0.0,0.0,352.0,84.0,5.6,1100114
1100114,ESCOLA FAMILIA AGRICOLA DOM ANTONIO POSSAMAI,11049014,4,2.0,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,113.0,113.0,28.25,1100114
1100122,ESCOLA FAMILIA AGRICOLA ITAPIREMA,11015896,4,2.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,211.0,211.0,70.33333333333333,1100122
1100122,COLEGIO UNIAO,11037660,4,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,18.0,1.0,8.0,10.0,7.0,3.0,0.0,0.0,394.0,67.0,3.7222222222222223,1100122
1100122,COLEGIO EDUCAR,11049294,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,1.0,3.0,11.0,8.0,2.0,1.0,0.0,282.0,19.0,1.1176470588235294,1100122
1100122,CLARETIANO COLEGIO JI-PARANA,11051000,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,4.0,6.0,4.0,2.0,0.0,0.0,314.0,31.0,1.9375,1100122
1100130,CD - DRUMMOND EDUCACIONAL,11049901,4,1.0,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,10.0,1.0,5.0,6.0,4.0,3.0,0.0,0.0,258.0,34.0,3.4,1100130
1100155,COLEGIO UNEOURO,11016248,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,16.0,1.0,4.0,5.0,4.0,3.0,0.0,0.0,224.0,36.0,2.25,1100155
1100205,CENTRO DE ENSINO CLASSE A,11000058,4,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,1.0,3.0,11.0,12.0,9.0,4.0,0.0,1081.0,357.0,9.64864864864865,1100205
1100205,COLEGIO SAPIENS - UNIDADE JARDIM DAS MANGUEIRAS,11000198,4,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.0,1.0,11.0,15.0,13.0,6.0,0.0,0.0,978.0,197.0,5.628571428571429,1100205
1100205,COLEGIO SAPIENS - UNIDADE JARDIM AMERICA,11000252,4,1.0,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,27.0,1.0,10.0,16.0,10.0,5.0,0.0,0.0,694.0,125.0,4.62962962962963,1100205
