codigo_municipio,populacao_0_17
1100015,5688
1100023,25664
1100031,1372
1100049,21209
1100056,4070
1100064,3741
1100072,1865
1100080,3935
1100098,7746
1100106,12761
1100114,12813
1100122,32347
1100130,8833
1100148,3795
1100155,8471
1100189,9055
1100205,125247
1100254,4647
1100262,916
1100288,14158
1100296,1779
1100304,25285
1100320,5778
1100338,7978
1100346,3216
1100379,3165
1100403,4480
1100452,7945
1100502,1840
1100601,1107
1100700,2528
1100809,6711
1100908,778
1100924,2858
1100940,4474
1101005,2100
1101104,2657
1101203,1529
1101302,2228
1101401,3011
1101435,1569
1101450,1115
1101468,636
1101476,797
1101484,1185
1101492,4803
1101500,3039
1101559,1011
1101609,2033
1101708,2644
1101757,2075
1101807,1502
1200013,4631
1200054,3096
1200104,8193
1200138,4291
1200179,3390
1200203,30404
1200252,5875
1200302,13922
1200328,4534
1200336,6978
1200344,4577
1200351,7483
1200385,5292
1200393,4691
1200401,103032
1200427,5638
1200435,3365
1200450,6512
1200500,13876
1200609,17586
1200708,5928
1200807,5432
1300029,6617
1300060,4696
1300086,3786
1300102,6329
1300144,6467
1300201,6926
1300300,15919
1300409,7707
1300508,12710
1300607,16164
1300631,8855
1300680,8865
1300706,11807
1300805,12769
1300839,4941
1300904,5507
1301001,10907
1301100,10756
1301159,6458
1301209,26659
1301308,8900
1301407,13278
1301506,6812
1301605,10231
1301654,5220
1301704,19657
1301803,10055
1301852,20230
1301902,35197
1301951,4807
1302009,3636
1302108,3840
1302207,4211
1302306,11629
1302405,16520
1302504,35812
1302553,6012
1302603,585839
1302702,19896
1302801,6919
1302900,25137
1303007,7267
1303106,10854
1303205,6051
1303304,8541
1303403,33262
1303502,7868
1303536,10358
1303569,8400
1303601,6199
1303700,12773
1303809,21601
1303908,15167
1303957,4321
1304005,4519
1304062,27373
1304104,7392
1304203,28522
1304237,8535
1304260,6009
1304302,6313
1304401,7826
1400027,6494
1400050,9601
1400100,129162
1400159,6097
1400175,7147
1400209,7678
1400233,3792
1400282,3655
1400308,6445
1400407,7264
1400456,8536
1400472,11100
1400506,2997
1400605,2357
1400704,7745
1500107,46262
1500131,1886
1500206,19861
1500305,14869
1500347,5757
1500404,25447
1500503,12461
1500602,38668
1500701,11719
1500800,116590
1500859,11559
1500909,15696
1500958,8169
1501006,6765
1501105,14606
1501204,14978
1501253,1238
1501303,38788
1501402,289801
1501451,5909
1501501,17886
1501576,4866
1501600,3623
1501709,37717
1501725,7464
1501758,2155
1501782,15388
1501808,42361
1501907,8184
1501956,6947
1502004,7715
1502103,43870
1502152,24898
1502202,18585
1502301,16594
1502400,51699
1502509,8333
1502608,3885
1502707,12451
1502756,9064
1502764,4820
1502772,6480
1502806,13320
1502855,5020
1502905,11514
1502939,18842
1502954,9496
1503002,3027
1503044,5435
1503077,7917
1503093,8448
1503101,12298
1503200,9873
1503309,21047
1503408,3156
1503457,10957
1503507,9484
1503606,38282
1503705,16198
1503754,10690
1503804,11700
1503903,19379
1504000,10152
1504059,10351
1504109,2387
1504208,81839
1504307,7532
1504406,7189
1504422,30766
1504455,8681
1504505,12902
1504604,8719
1504703,28435
1504752,7217
1504802,18749
1504901,15390
1504950,7351
1504976,4273
1505007,3172
1505031,10576
1505064,20635
1505106,17875
1505205,12957
1505304,24560
1505403,5263
1505437,10853
1505486,14031
1505494,2168
1505502,32893
1505536,84963
1505551,2133
1505601,2148
1505635,4106
1505650,6032
1505700,7966
1505809,25607
1505908,15311
1506005,12848
1506104,3081
1506112,3314
1506138,25070
1506161,5078
1506187,12997
1506195,12185
1506203,12544
1506302,7228
1506351,6170
1506401,2260
1506500,18513
1506559,6267
1506583,5126
1506609,6533
1506708,10423
1506807,102208
1506906,1774
1507003,8092
1507102,4658
1507151,6623
1507201,10827
1507300,20306
1507409,4095
1507458,7720
1507466,1314
1507474,6125
1507508,4516
1507607,16693
1507706,8974
1507755,1898
1507805,8141
1507904,7111
1507953,25157
1507961,3073
1507979,6171
1508001,23297
1508035,8956
1508050,5014
1508084,12057
1508100,27757
1508126,10754
1508159,14082
1508209,14041
1508308,21427
1508357,5275
1508407,15729
1600055,1573
1600105,2850
1600154,5311
1600204,3859
1600212,1750
1600238,2562
1600253,2248
1600279,11816
1600303,135885
1600402,8522
1600501,10328
1600535,6452
1600550,1572
1600600,34339
1600709,5292
1600808,4214
1700251,741
1700301,1340
1700350,1304
1700400,2022
1700707,2294
1701002,3028
1701051,835
1701101,1425
1701309,1447
1701903,1695
1702000,1919
1702109,47749
1702158,1324
1702208,9676
1702307,1489
1702406,2721
1702554,5273
1702703,819
1702901,3492
1703008,2042
1703057,985
1703073,1442
1703107,1229
1703206,1177
1703305,1299
1703602,570
1703701,1264
1703800,3188
1703826,608
1703842,3164
1703867,965
1703883,651
1703891,1086
1703909,1436
1704105,571
1704600,412
1705102,923
1705508,9787
1705557,1262
1705607,1158
1706001,1553
1706100,1570
1706258,382
1706506,1791
1707009,5163
1707108,1867
1707207,1646
1707306,1055
1707405,2470
1707553,927
1707652,1258
1707702,2122
1708205,5194
1708254,1022
1708304,1202
1709005,4497
1709302,6373
1709500,21635
1709807,452
1710508,2173
1710706,1459
1710904,1001
1711100,644
1711506,873
1711803,634
1711902,5013
1711951,1270
1712009,973
1712157,456
1712405,935
1712454,846
1712504,1326
1712702,863
1712801,987
1713205,4885
1713304,3338
1713601,1599
1713700,631
1713809,1399
1713957,980
1714203,2374
1714302,1247
1714880,3050
1715002,906
1715101,1239
1715150,449
1715259,702
1715507,365
1715705,1346
1715754,1737
1716109,14115
1716208,3036
1716307,1188
1716505,4087
1716604,2353
1716653,1292
1716703,2245
1717008,1314
1717206,624
1717503,2175
1717800,1081
1717909,2272
1718006,908
1718204,18685
1718303,3196
1718402,755
1718451,607
1718501,1090
1718550,1167
1718659,585
1718709,779
1718758,1372
1718808,1413
1718840,1035
1718865,2222
1718881,796
1718899,577
1718907,1419
1719004,943
1720002,695
1720101,1794
1720150,635
1720200,4085
1720259,644
1720309,1341
1720499,1164
1720655,1536
1720804,3214
1720853,422
1720903,3637
1720937,611
1720978,601
1721000,82473
1721109,3013
1721208,6843
1721257,531
1721307,498
1722081,3179
1722107,2990
2100055,31559
2100105,2247
2100154,3658
2100204,5142
2100303,8479
2100402,1842
2100436,7795
2100477,8884
2100501,3505
2100550,2495
2100600,13935
2100709,7143
2100808,4368
2100832,5399
2100873,3612
2100907,11436
2100956,9373
2101004,8328
2101103,3594
2101202,29979
2101251,5252
2101301,4830
2101350,1457
2101400,31668
2101509,5074
2101608,26661
2101707,22569
2101731,3378
2101772,3824
2101806,1492
2101905,5093
2101939,1668
2101970,2795
2102002,11314
2102036,10422
2102077,3519
2102101,10881
2102150,3046
2102200,10610
2102309,7161
2102325,19451
2102358,4104
2102374,3490
2102408,3027
2102507,5523
2102556,3792
2102606,6595
2102705,7577
2102754,3412
2102804,7011
2102903,7911
2103000,45452
2103109,2667
2103125,2323
2103158,4785
2103174,6018
2103208,26462
2103257,3967
2103307,35479
2103406,13133
2103505,12528
2103554,5219
2103604,18298
2103703,8792
2103752,4342
2103802,6618
2103901,3371
2104008,5273
2104057,10229
2104073,2469
2104081,4180
2104099,5474
2104107,3790
2104206,5543
2104305,3269
2104404,5243
2104503,2992
2104552,5710
2104602,4282
2104628,2142
2104651,3383
2104677,7815
2104701,1759
2104800,25741
2104909,2654
2105005,9136
2105104,8054
2105153,4860
2105203,2830
2105302,73144
2105351,5129
2105401,19546
2105427,6578
2105450,2339
2105476,7040
2105500,7410
2105609,4725
2105658,1713
2105708,13508
2105807,2798
2105906,4896
2105922,3145
2105948,2424
2105963,3973
2105989,2115
2106003,3206
2106102,3392
2106201,2219
2106300,4093
2106326,7716
2106359,2527
2106375,5157
2106409,5705
2106508,6761
2106607,10785
2106631,5368
2106672,2937
2106706,6461
2106755,6830
2106805,4087
2106904,9841
2107001,2793
2107100,6284
2107209,4710
2107258,1601
2107308,1213
2107357,4572
2107407,4788
2107456,4195
2107506,39656
2107605,6419
2107704,5350
2107803,10106
2107902,5333
2108009,5711
2108058,6099
2108108,6538
2108207,9782
2108256,8682
2108306,11274
2108405,2975
2108454,6648
2108504,9961
2108603,24458
2108702,6791
2108801,5352
2108900,4632
2109007,7016
2109056,1641
2109106,12858
2109205,4052
2109239,1420
2109270,6293
2109304,3848
2109403,4807
2109452,9414
2109502,6704
2109551,2307
2109601,11555
2109700,1662
2109759,2065
2109809,13144
2109908,24769
2110005,19505
2110039,7300
2110104,7656
2110203,11691
2110237,3436
2110278,4875
2110302,4069
2110401,6569
2110500,14281
2110609,8218
2110658,2578
2110708,10399
2110807,1236
2110856,2808
2110906,3410
2111003,5207
2111029,4420
2111052,2888
2111078,5724
2111102,6924
2111201,66377
2111250,2122
2111300,246007
2111409,5323
2111508,11856
2111532,4652
2111573,1685
2111607,5623
2111631,1772
2111672,1429
2111706,5620
2111722,2750
2111748,3391
2111763,4510
2111789,3335
2111805,5301
2111904,3055
2111953,1452
2112001,3008
2112100,8882
2112209,49698
2112233,6429
2112274,1880
2112308,10691
2112407,12754
2112456,11435
2112506,17657
2112605,11960
2112704,15073
2112803,16526
2112852,3387
2112902,9573
2113009,8792
2114007,12607
2200053,1620
2200103,1199
2200202,4710
2200251,1535
2200277,1180
2200301,3136
2200400,12390
2200459,1588
2200509,4954
2200608,1635
2200707,2604
2200806,859
2200905,1228
2200954,524
2201002,1148
2201051,2281
2201101,3007
2201150,4470
2201176,973
2201200,13662
2201309,915
2201408,1783
2201507,6804
2201556,1003
2201572,793
2201606,2449
2201705,1517
2201739,1845
2201770,1920
2201804,823
2201903,8542
2201919,1463
2201929,1565
2201945,1756
2201960,2072
2201988,948
2202000,5560
2202026,1802
2202059,2474
2202075,796
2202083,2020
2202091,1361
2202109,1225
2202117,1179
2202133,1529
2202174,2406
2202208,10251
2202251,887
2202307,4729
2202406,2881
2202455,1029
2202505,2977
2202539,1516
2202554,1380
2202604,5117
2202653,1569
2202703,7889
2202711,1215
2202729,1687
2202737,1101
2202752,1687
2202778,1648
2202802,1175
2202851,996
2202901,7815
2203008,2209
2203107,3105
2203206,3266
2203230,1434
2203255,1329
2203271,1514
2203305,4486
2203354,1826
2203404,1372
2203420,1130
2203453,2145
2203503,3028
2203602,1039
2203701,11024
2203750,1523
2203800,1153
2203859,486
2203909,15255
