"CD_BAIRRO";"NM_BAIRRO";"V06001";"V06002";"V06003";"V06004";"V06005";"V06006"
"1100015001";"Centro";"480";"1208";"1,43";"4053,67";"52524924,01";"2400"
"1100015002";"Liberdade";"391";"1029";"1,43";"2630,28";"7175909,91";"1800"
"1100015003";"Cidade Alta";"498";"1286";"1,53";"2347,26";"1981893,18";"2424"
"1100015005";"Princesa Isabel";"1059";"2844";"1,82";"1772,79";"1616198,15";"1212"
"1100015006";"Redondo";"871";"2360";"1,57";"2619,09";"13133894,16";"1500"
"1100015007";"Tucanos";"116";"325";"1,52";"2031,40";"3394560,40";"1257"
"1100015008";"Santa Felicidade";"777";"2100";"1,30";"3175,04";"10756019,11";"2200"
"1100023001";"Setor Apoio Rodoviário";"171";"477";"2,14";"1980,98";"2512451,99";"1251"
"1100023002";"Apoio Social";"341";"959";"2,11";"1896,77";"2121301,89";"1250"
"1100023003";"Área Especial 02";"264";"659";"1,61";"2334,66";"3409864,86";"1800"
"1100023004";"Áreas Especiais 01";"454";"1228";"2,36";"4456,51";"41900759,51";"3000"
"1100023005";"Bela Vista";"481";"1424";"1,62";"2204,29";"2477175,59";"1750"
"1100023006";"Marechal Rondon";"348";"980";"1,59";"1740,91";"800809,63";"1500"
"1100023007";"Colonial";"586";"1535";"1,84";"1606,52";"983149,94";"1212"
"1100023008";"Bom Jesus";"511";"1394";"1,78";"2388,67";"4435921,64";"2000"
"1100023009";"São Luiz";"311";"852";"1,69";"1897,67";"1809097,12";"1400"
"1100023010";"Coqueiral";"8";"24";"1,71";"2992,00";"13811474,29";"1606"
"1100023011";"Nova União I";"269";"777";"2,29";"1992,63";"6539064,08";"1331.5"
"1100023012";"Jardim das Palmeiras";"899";"2470";"1,87";"2364,05";"3545711,75";"1900"
"1100023013";"Trevo";"145";"368";"1,92";"1712,47";"865084,84";"1300"
"1100023014";"Nova Londrina";"38";"103";"2,05";"2041,91";"1362126,20";"1800"
"1100023015";"Monte Cristo";"183";"543";"2,36";"2025,07";"3488252,90";"1200"
"1100023016";"Jardim Monte Alegre";"266";"768";"1,45";"3592,83";"8213421,07";"3000"
"1100023017";"Industrial Jamari";"41";"100";"1,75";"2226,00";"2882095,38";"1855"
"1100023018";"Pedras";"404";"1070";"1,56";"2661,87";"8149515,56";"2000"
"1100023019";"Jardim das Flores";"139";"399";"1,97";"1824,00";"5793862,24";"1212"
"1100023020";"Vida Nova";"234";"701";"2,11";"1937,04";"11382626,10";"1212"
"1100023021";"Flores";"139";"405";"1,62";"8348,53";"83082215,32";"5000"
"1100023022";"Setor 10";"981";"2986";"2,32";"1619,92";"1085927,73";"1212"
"1100023023";"Parque das Gemas";"1155";"3131";"1,57";"2512,17";"6322601,42";"1800"
"1100023024";"Jardim Primavera";"347";"969";"1,56";"2266,85";"4568240,01";"1550"
"1100023025";"Rota do Sol";"730";"2107";"2,13";"2069,45";"3021240,82";"1500"
"1100023026";"Residencial Eldorado";"83";"264";"1,98";"11038,23";"129610407,69";"8000"
"1100023027";"Residencial Alvorada";"474";"1375";"1,56";"2701,18";"4428513,43";"2000"
"1100023028";"Setor 02";"2255";"5909";"1,93";"2646,23";"8257342,16";"1800"
