"CD_DIST";"NM_DIST";"PERE0115_NOVA";"V06001";"V06002";"V06003";"V06004";"V06005";"V06006"
"110001505";"Alta Floresta D'Oeste";"1600";"6121";"16686";"1,59";"2625,58";"15376260,32";"1600"
"110001515";"Filadélfia d'Oeste";"1212";"184";"550";"1,72";"2006,95";"3818162,37";"1212"
"110001520";"Izidolândia";"1500";"179";"532";"1,76";"2088,11";"2362876,25";"1500"
"110001525";"Nova Gease d'Oeste";"1500";"337";"1071";"3,18";"2440,84";"17728667,79";"1500"
"110001530";"Rolim de Moura do Guaporé";"1200";"253";"801";"3,11";"1958,71";"11839664,17";"1200"
"110001535";"Santo Antônio d'Oeste";"1212";"594";"1691";"1,46";"2564,94";"49624752,49";"1212"
"110002305";"Ariquemes";"1800";"34760";"96139";"1,85";"2668,81";"11560167,11";"1800"
"110003105";"Cabixi";"1500";"1963";"5335";"1,55";"2399,26";"12624574,02";"1500"
"110004905";"Cacoal";"2000";"27904";"74870";"1,69";"3145,32";"980870537,93";"2000"
"110004910";"Riozinho";"1212";"3894";"11215";"2,30";"2052,68";"6053105,09";"1212"
"110004915";"Divinópolis";"1212";"94";"270";"1,34";"1905,68";"2183626,47";"1212"
"110005605";"Cerejeiras";"1700";"5871";"15792";"1,55";"2548,40";"11251071,63";"1700"
"110006405";"Colorado do Oeste";"1800";"5991";"15663";"1,52";"2637,32";"8497127,84";"1800"
"110007205";"Corumbiara";"2000";"2835";"7487";"1,56";"2337,06";"3922754,67";"2000"
"110008005";"Costa Marques";"1500";"2876";"8890";"2,61";"2307,77";"8865737,43";"1500"
"110008015";"Real Forte Príncipe da Beira";"1200";"73";"231";"3,75";"1731,49";"4762055,88";"1200"
"110008035";"São Domingos do Guaporé";"1212";"1209";"3397";"1,84";"2100,59";"7627961,77";"1212"
"110009805";"Espigão D'Oeste";"1500";"8772";"24480";"1,79";"2302,75";"5425486,35";"1500"
"110009810";"Boa Vista do Pacarana";"1500";"543";"1600";"1,63";"2147,42";"4202860,63";"1500"
"110009812";"Novo Paraíso";"2000";"455";"1278";"1,31";"2512,19";"4541843,53";"2000"
"110009815";"Flor da Serra";"2000";"300";"873";"1,67";"2217,61";"6620168,02";"2000"
"110009818";"Nova Esperança";"1212";"376";"990";"1,36";"2164,93";"9481291,48";"1212"
"110010605";"Guajará-Mirim";"1212";"10832";"35207";"3,33";"2403,83";"110809061,54";"1212"
"110010612";"Iata";"1210";"396";"1476";"5,94";"1441,58";"1222045,61";"1210"
"110010622";"Surpresa";"1212";"524";"2040";"4,50";"1326,21";"1257020,13";"1212"
"110011405";"Jaru";"1800";"16259";"43029";"1,63";"2622,31";"12897649,07";"1800"
"110011410";"Bom Jesus";"2000";"642";"1747";"1,31";"2744,48";"8924236,29";"2000"
"110011420";"Santa Cruz da Serra";"1700";"332";"904";"1,52";"2096,61";"1885521,27";"1700"
"110011425";"Tarilândia";"1500";"1714";"4674";"1,62";"2067,77";"7948444,91";"1500"
"110012205";"Ji-Paraná";"1800";"43665";"119978";"1,80";"2703,65";"10925397,53";"1800"
"110012220";"Nova Colina";"1212";"391";"1108";"2,06";"1896,51";"2558325,83";"1212"
"110012225";"Nova Londrina";"1212";"940";"2543";"1,69";"1927,96";"2720275,81";"1212"
"110013005";"Machadinho D'Oeste";"1245";"8919";"24815";"1,89";"1999,98";"6071574,27";"1245"
"110013015";"Oriente Novo";"1200";"676";"2019";"2,05";"1845,08";"3362031,62";"1200"
"110013020";"Quinto BEC";"1200";"934";"2637";"1,85";"1751,29";"5374364,84";"1200"
