nome_escola,codigo_municipio,score_socioeconomico,quantidade_salas,score_potencial
COLEGIO SALESIANO SANTA ROSA,3303302,0.9614,45.0,0.9943
EDUARDO GOMES COLEGIO,3548807,0.9243,47.0,0.9924
ESCOLA VILLARE,3548807,0.9243,45.0,0.9919
EDUCANDARIO IMACULADA CONCEICAO,4205407,0.8644,50.0,0.9914
COLEGIO SANTO AGOSTINHO UNIDADE NOVA LIMA,3144805,0.8031,78.0,0.9913
INSTITUTO GAYLUSSAC - ENS FUNDAMENTAL E MEDIO,3303302,0.9614,37.0,0.9912
FENIX SANTA PAULA ESCOLA UNDADE I E II,3548807,0.9243,42.0,0.9911
ESCOLA INTERNACIONAL DE FORMACAO GERENCIAL,3144805,0.8031,71.0,0.991
INST ITALO BRASILEIRO BICULTURAL,3144805,0.8031,71.0,0.991
PROGRAMA BAIRRO EDUCADOR,4205407,0.8644,48.0,0.9909
SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC,3205309,0.7699,135.0,0.9909
SENAI NITEROI,3303302,0.9614,36.0,0.9906
COLEGIO BOM JESUS CORACAO DE JESUS,4205407,0.8644,45.0,0.9902
INST MAIA VINAGRE,3303302,0.9614,35.0,0.9899
ISJB - COLEGIO SALESIANO REGIAO OCEANICA,3303302,0.9614,35.0,0.9899
COLEGIO ANGLO BALNEARIO CAMBORIU,4202008,0.8339,50.0,0.9897
CE LEONARDO DA VINCI,3205309,0.7699,60.0,0.9897
CENTRO DE ENSINO CHARLES DARWIN,3205309,0.7699,48.0,0.9879
REDE DE ENSINO NOVO TEMPO,3548500,0.7308,65.0,0.9879
SENAI ES - CENTRO DE EDUCACAO E TECNOLOGIA ARIVALDO FONTES,3205309,0.7699,48.0,0.9879
COLEGIO RENOVACAO,3205309,0.7699,45.0,0.9872
EXTERNATO SANTO ANTONIO,3548807,0.9243,34.0,0.9868
ANTONIO SOUZA NOSCHESE ESCOLA SENAI,3548500,0.7308,51.0,0.9867
SENAC NITEROI,3303302,0.9614,30.0,0.9855
COLEGIO OBJETIVO CAMBOINHAS,3303302,0.9614,30.0,0.9855
CE PRIMEIRO MUNDO,3205309,0.7699,40.0,0.9855
SANTA CECILIA COLEGIO,3548500,0.7308,45.0,0.9852
ARMANDO DE ARRUDA PEREIRA ESCOLA SENAI,3548807,0.9243,32.0,0.9851
LICEU SANTISTA,3548500,0.7308,44.0,0.9849
ESCOLA SAO DOMINGOS,3205309,0.7699,38.0,0.9845
ESCOLA SENAI PAULO ANTONIO SKAF,3548807,0.9243,31.0,0.9843
COL MARILIA MATTOSO,3303302,0.9614,28.0,0.9829
CARMO COLEGIO,3548500,0.7308,38.0,0.9825
COLEGIO SANTA TEREZINHA,4205407,0.8644,31.0,0.9825
COLEGIO ADVENTISTA DE FLORIANOPOLIS - ESTREITO,4205407,0.8644,31.0,0.9825
COLEGIO ENERGIA,4205407,0.8644,31.0,0.9825
JEAN PIAGET UNIDADE II EEPG,3548500,0.7308,36.0,0.9816
COL MARISTA NOSSA SENHORA DO ROSARIO,4314902,0.7294,83.0,0.9815
ESCOLA DINAMICA,4205407,0.8644,30.0,0.9814
ESCOLA JARDIM ANCHIETA,4205407,0.8644,30.0,0.9814
COLEGIO FARROUPILHA,4314902,0.7294,72.0,0.9811
COLEGIO UNIFICADO,4202008,0.8339,31.0,0.9809
COL NOSSA SENHORA DO BOM CONSELHO,4314902,0.7294,68.0,0.9809
COLEGIO ISRAELITA BRASILEIRO,4314902,0.7294,59.0,0.9804
CENTRO DE ENSINO MEDIO PASTOR DOHMS-UNIDADE DE ENSINO HIGIENOPOLIS,4314902,0.7294,59.0,0.9804
COL METODISTA AMERICANO,4314902,0.7294,56.0,0.9802
COLEGIO CRIATIVO MATRIZ,4205407,0.8644,29.0,0.9802
COL LA SALLE SANTO ANTONIO,4314902,0.7294,54.0,0.9799
COLEGIO NOSSA SRA DA GLORIA,4314902,0.7294,52.0,0.9797
SENAC SANTOS,3548500,0.7308,33.0,0.9793
LICEU SAO PAULO,3548500,0.7308,33.0,0.9793
ONIS COLEGIO,3548500,0.7308,32.0,0.9784
COLEGIO SALESIANO JARDIM CAMBURI,3205309,0.7699,30.0,0.9784
ESCOLA CRESCER,3205309,0.7699,30.0,0.9784
